correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,1.0,nevada,nevade,N AH V EY D,innovate,IH N AH V EY T,"['innovate', 'invade', 'nevada', 'nevada', 'pervade', 'buffeted', 'surveyed', 'surveyed', 'hovered', 'covered']"
1.0,1.0,presbyterian,presbyterian,P R EH S B IH T IH R IY AH N,presbyterian,P R EH S B IH T IH R IY AH N,"['presbyterian', 'presbyterian', 'presbyterians', 'presbyterians']"
1.0,0.0,rsx,rsx,AA R EH S,rsx,AA R EH S,"['arts', 'arcs', 'dress', 'cress', 'tress', 'press', 'orris', 'ops', 'less', 'les']"
0.0,1.0,stephen,steffen,S T EH F AH N,stephan,S T EH F AH N,"['stephan', 'stiffen', 'stefan', 'stiffener', 'saffron', 'stephen', 'steven', 'stephanie', 'stefanie', 'stephens']"
1.0,1.0,susan,susan,S UW Z AH N,susan,S UW Z AH N,"['susan', 'suzanne', 'susanne', 'season', 'loosen', 'susanna', 'sousa', 'sudan', 'chosen', 'cezanne']"
1.0,1.0,ability,abilitey,AH B IH L AH T IY,ability,AH B IH L AH T IY,"['ability', 'agility', 'abilities', 'debility', 'obesity', 'billets', 'virility', 'acidity', 'bigotry', 'civility']"
0.0,0.0,about,abouy,AH B UW IY,abboud,AH B UW D,"['rubbery', 'brewery', 'buoy', 'bowie', 'burry', 'dewey', 'dewy', 'phooey', 'ennui', 'gooey']"
1.0,1.0,absorption,absorbtion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,"['absorption', 'absorption', 'abortion', 'absorbent']"
0.0,1.0,accidentally,accidently,AE K S AH D AH N T L IY,accidently,AE K S AH D AH N T L IY,"['accidentally', 'excellently', 'accidentally', 'accidents', 'accidental', 'accident']"
1.0,1.0,accommodate,accomodate,AH K AA M AH D EY T,accommodate,AH K AA M AH D EY T,"['accommodate', 'accommodates', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accommodate,acommadate,AH K AA M AH D EY T,accommodate,AH K AA M AH D EY T,"['accommodate', 'accommodates', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accord,acord,EY K AO R D,accord,AH K AO R D,"['accord', 'scored', 'acorn', 'record', 'record', 'scarred', 'cord', 'chord', 'afford', 'aboard']"
1.0,1.0,acquaintance,aquantance,AH K W AA N T AH N S,acquaintance,AH K W EY N T AH N S,['acquaintance']
0.0,1.0,acquire,equire,IH K W AY R,squire,S K W AY R,"['squire', 'require', 'require', 'acquire', 'choir', 'queer', 'quite', 'inquire', 'quire', 'equate']"
1.0,1.0,adultery,adultry,AH D AH L T R IY,adultery,AH D AH L T ER IY,"['adultery', 'adults', 'adulterer', 'sultry', 'ulterior', 'doubletree', 'adult']"
1.0,1.0,aggressive,aggresive,AH G R IY S IH V,aggressive,AH G R EH S IH V,"['aggressive', 'regressive', 'abrasive', 'oppressive', 'adhesive', 'greasing', 'aggrieved', 'agreeing']"
1.0,1.0,alcohol,alchohol,AE L CH AH HH AA L,alcohol,AE L K AH HH AA L,['alcohol']
1.0,1.0,alcoholic,alchoholic,AE L CH AH HH AA L IH K,alcoholic,AE L K AH HH AA L IH K,"['alcoholic', 'alcoholics']"
0.0,1.0,alive,allieve,AH L IY V,aleve,AH L IY V,"['alive', 'sleeve', 'cleave', 'elise', 'achieve', 'aliyah', 'relieve', 'lever', 'leaver', 'relieve']"
1.0,1.0,amateur,amature,AE M AH CH UH R,amateur,AE M AH CH ER,"['amateur', 'mature', 'amateurs', 'manure', 'matures']"
1.0,1.0,ambivalent,ambivilant,AE M B IH V L AH N T,ambivalent,AE M B IH V AH L AH N T,"['ambivalent', 'ambivalence']"
1.0,1.0,amorphous,amourfous,AH M UH R F AH S,amorphous,AH M AO R F AH S,"['amorphous', 'assurance']"
0.0,1.0,amplification,amification,AE M AH F AH K EY SH AH N,ratification,R AE T AH F AH K EY SH AH N,"['ratification', 'edification', 'ramification', 'ossification', 'ramifications', 'deification', 'suffocation', 'pacification', 'amplification']"
0.0,1.0,anatomy,anonomy,AH N AA N AH M IY,autonomy,AH T AA N AH M IY,"['autonomy', 'economy', 'anomaly', 'economy', 'anonymous', 'autonomy', 'anatomy', 'monogamy']"
1.0,1.0,anatomy,anotomy,AH N AA T AH M IY,anatomy,AH N AE T AH M IY,"['anatomy', 'anomaly', 'autonomy', 'monotony', 'monogamy', 'neoteny']"
0.0,0.0,announce,annuncio,AH N AH N S IY OW,nunzio,N AH N Z IY OW,['nuncio']
0.0,0.0,announcement,annonsment,AH N AA N Z M AH N T,announcment,AH N AW N S M AH N T,[]
1.0,1.0,anoint,annoint,AH N OY N T,anoint,AH N OY N T,"['anoint', 'appoint', 'point', 'unearned', 'annoyance', 'joint', 'amount', 'unknowns', 'annoying', 'adjoins']"
0.0,0.0,anonymous,anynomous,EH N IY N OW M AH S,,,[]
0.0,0.0,appreciate,appresteate,AE P R AH S T IY T,,,[]
1.0,1.0,appreciated,appreceiated,AH P R IY S IY EY T IH D,appreciated,AH P R IY SH IY EY T IH D,"['appreciated', 'abbreviated', 'appreciative', 'appreciating']"
0.0,0.0,archetype,archeype,AA R K IY P,akio,AA K IY OW,"['hakim', 'arcane', 'arcade', 'upkeep', 'archive', 'arlene', 'arleen', 'armies', 'hockey', 'aria']"
0.0,0.0,architecture,aratictature,EH R AH T IH K T AH CH ER,,,[]
0.0,0.0,architecture,aricticure,ER IH K T AH K Y UH R,,,[]
1.0,1.0,arctic,artic,AA R T IH K,arctic,AA R T IH K,"['arctic', 'optic', 'attic', 'stick', 'artwork', 'orphic', 'arctic', 'shtick', 'rurik', 'uptick']"
0.0,1.0,asterisk,asterick,AE S T ER IH K,estrich,EH S T R IH K,"['antic', 'asterisk', 'altaic', 'astrid', 'asters', 'asteroid', 'rhetoric', 'stick', 'attic', 'gastric']"
1.0,0.0,asymmetric,asymetric,EY S AH M EH T R IH K,asymmetric,EY S AH M EH T R IH K,"['geometric', 'asymmetrical']"
0.0,0.0,asymptote,asentote,AE S AH N T OW T,acetate,AE S AH T EY T,"['acetate', 'acetone', 'massenet', 'absentee', 'fascinate', 'masonite']"
0.0,0.0,at,ast,AE S T,asked,AE S T,"['asked', 'est', 'iced', 'raster', 'oust', 'aced', 'east', 'ask', 'aft', 'aust']"
1.0,1.0,attentively,atentively,AH T EH N T IH V L IY,attentively,AH T EH N T IH V L IY,"['attentively', 'offensively', 'affectively', 'attentive', 'tentatively']"
