Mispelling,suggestion
abouy,about
annonsment,announcement
anynomous,anonymous
archeype,archetype
asterick,asterisk
asymetric,asymmetric
bbrose,browse
bouyant,buoyant
buracracy,bureaucracy
burracracy,bureaucracy
cicle,circle
colleaque,colleague
colloquilism,colloquialism
comitte,committee
comiler,compiler
compicated,complicated
comupter,computer
contunie,continue
cosmoplyton,cosmopolitan
criqitue,critique
crusifed,crucified
dieties,deities
descrption,description
dessicate,desiccate
desparate,desperate
direcyly,directly
diagree,disagree
distarct,distract
doog,dog
deaft,draft
drunkeness,drunkenness
dynaic,dynamic
embarass,embarrass
embarassment,embarrassment
encapsualtion,encapsulation
enought,enough
enviroment,environment
envireminakl,environmental
erro,error
eitiology,etiology
evaualtion,evaluation
evtually,eventually
excution,execution
forsee,foresee
frustartaion,frustrating
gaurd,guard
harrass,harass
helo,hello
hlp,help
higer,higher
howver,however
hiphine,hyphen
hystrical,hysterical
illegitament,illegitimate
immenant,immanent
implemtes,implements
inconvience,inconvenience
ident,indent
independenent,independent
inefficite,inefficient
intealignt,intelligent
intelignt,intelligent
intellgnt,intelligent
isotrop,isotope
lloyer,layer
liason,liaison
libary,library
lossing,losing
maxium,maximum
mischievious,mischievous
neccessary,necessary
necesser,necessary
neice,niece
nozled,nuzzled
obsfuscate,obfuscate
ocassion,occasion
occusionaly,occasionally
occuppied,occupied
occurence,occurrence
patten,pattern
preemptory,peremptory
permmasivie,permissive
politict,politic
protray,portray
prefices,prefixes
priviledge,privilege
pscolgst,psychologist
psicolagest,psychologist
respct,respect
sacreligious,sacrilegious
salut,salute
secion,section
sieze,seize
singal,signal
situration,situation
smil,smile
sometmes,sometimes
specificialy,specifically
stering,steering
superfulous,superfluous
slyph,sylph
syncorization,synchronization
tattos,tattoos
tem,team
taht,that
teh,the
thredically,theoretically
unentelegible,unintelligible
unatourral,unnatural
unaturral,unnatural
unnaturral,unnatural
uranisium,uranium
verison,version
vinagarette,vinaigrette
whaaat,what
writting,writing
youe,your
