Mispelling,Suggestion
rsx,rsx
abilitey,ability
absorbtion,absorption
accomodate,accommodate
acommadate,accommodate
acord,accord
aquantance,acquaintance
adultry,adultery
aggresive,aggressive
alchohol,alcohol
alchoholic,alcoholic
ambivilant,ambivalent
amourfous,amorphous
anotomy,anatomy
annoint,anoint
appreceiated,appreciated
asymetric,asymmetric
atentively,attentively
basicly,basically
batallion,battalion
beggining,beginning
bigginging,beginning
beleive,believe
brocolli,broccoli
beaurocracy,bureaucracy
cemetary,cemetery
circumstaces,circumstances
comitmment,commitment
comittmend,commitment
commited,committed
commitee,committee
congradulations,congratulations
concensus,consensus
credetability,credibility
ctitique,critique
definate,definite
definately,definitely
dependeble,dependable
descrptn,description
dessicate,desiccate
dispair,despair
distroy,destroy
developement,development
ductioneery,dictionary
dinasaur,dinosaur
dinasour,dinosaur
disect,dissect
disippate,dissipate
distart,distort
devulge,divulge
doenload,download
dramaticly,dramatically
effots,efforts
embaress,embarrass
encapsualtion,encapsulation
encyclapidia,encyclopedia
encyclopia,encyclopedia
enhence,enhance
ennuui,ennui
enviroment,environment
epitomy,epitome
excede,exceed
excpt,except
excution,execution
excercise,exercise
exhileration,exhilaration
egsistence,existence
existance,existence
exspidient,expedient
phantasia,fantasia
famdasy,fantasy
fistival,festival
firey,fiery
flatterring,flattering
gobernement,government
gobernment,government
gradualy,gradually
hapily,happily
heellp,help
hippopotamous,hippopotamus
houssing,housing
howaver,however
humaniti,humanity
imediaetly,immediately
inadvertant,inadvertent
incompleet,incomplete
incomplot,incomplete
inconvenant,inconvenient
independant,independent
independenent,independent
imfamy,infamy
influencial,influential
inital,initial
incedious,insidious
insistant,insistent
intejilent,intelligent
intelegent,intelligent
intelegnent,intelligent
intelejent,intelligent
inteligent,intelligent
intellagant,intelligent
intellegent,intelligent
intellegint,intelligent
inerface,interface
interpretter,interpreter
enventions,inventions
irresistable,irresistible
irritible,irritable
isotrop,isotope
kippur,kipper
lesure,leisure
liquify,liquefy
maddness,madness
maintanence,maintenance
pataphysical,metaphysical
millenium,millennium
monkay,monkey
necesary,necessary
noticably,noticeably
nozled,nuzzled
obsfuscate,obfuscate
octagenarian,octogenarian
opposim,opossum
organiz,organize
oscilascope,oscilloscope
preemptory,peremptory
permissable,permissible
permmasivie,permissive
phenominal,phenomenal
pollice,police
poligamy,polygamy
polypropalene,polypropylene
preceeding,preceding
perogative,prerogative
privielage,privilege
priviledge,privilege
proplematic,problematic
proceedures,procedures
pronensiation,pronunciation
pronounciation,pronunciation
psycolagest,psychologist
quoz,quiz
wrank,rank
recieve,receive
reccomend,recommend
repitition,repetition
reseblence,resemblance
runnung,running
segements,segments
seperate,separate
sometmes,sometimes
spel,spell
sponsered,sponsored
stumach,stomach
straightjacket,straitjacket
stutent,student
subpena,subpoena
subjecribed,subscribed
superfulous,superfluous
supercede,supersede
swim_wear,swimwear
ttest,test
titalate,titillate
tommorrow,tomorrow
tomorow,tomorrow
trubbel,trouble
tyrrany,tyranny
unfortunently,unfortunately
unnaturral,unnatural
vinagarette,vinaigrette
volumptuous,voluptuous
warloord,warlord
wierd,weird
whimp,wimp
yeild,yield
