Mispelling,suggestion
rsx,rsx
abouy,about
acord,accord
aquantance,acquaintance
alchohol,alcohol
alchoholic,alcoholic
anotomy,anatomy
anynomous,anonymous
archeype,archetype
asymetric,asymmetric
bankrot,bankrupt
beggining,beginning
beleive,believe
belive,believe
metter,better
bouyant,buoyant
buracracy,bureaucracy
burracracy,bureaucracy
budter,butter
buton,button
cicle,circle
circue,circle
clob,club
colleaque,colleague
colloquilism,colloquialism
comiler,compiler
comupter,computer
contunie,continue
courst,court
criqitue,critique
ctitique,critique
dieties,deities
descrption,description
desparate,desperate
dinasaur,dinosaur
dinasour,dinosaur
direcyly,directly
diagree,disagree
discuess,discuss
doenload,download
drunkeness,drunkenness
dynaic,dynamic
embarass,embarrass
encapsualtion,encapsulation
engins,engine
enought,enough
epitomy,epitome
erro,error
eitiology,etiology
evaualtion,evaluation
excpt,except
excution,execution
famdasy,fantasy
fistival,festival
forsee,foresee
fuction,function
gobernement,government
gobernment,government
gaurd,guard
harrass,harass
havne,have
heighth,height
hlp,help
higer,higher
houssing,housing
howaver,however
howver,however
hystrical,hysterical
implemtes,implements
independenent,independent
inefficite,inefficient
imfamy,infamy
inital,initial
innoculate,inoculate
intealignt,intelligent
internation,international
enventions,inventions
irritible,irritable
knawing,knowing
latext,latest
leasve,leave
liason,liaison
likly,likely
lossing,losing
majoraly,majority
maxium,maximum
midia,media
meory,memory
pataphysical,metaphysical
mroe,more
mosaik,mosaic
oving,moving
neccessary,necessary
necesser,necessary
ocassion,occasion
occusionaly,occasionally
occuppied,occupied
oscilascope,oscilloscope
preemptory,peremptory
poligamy,polygamy
protray,portray
prefices,prefixes
proplematic,problematic
pronensiation,pronunciation
pronounciation,pronunciation
quoz,quiz
repitition,repetition
respct,respect
roon,room
runnung,running
sacreligious,sacrilegious
satifly,satisfy
scrabdle,scrabble
secion,section
segements,segments
seferal,several
singal,signal
simplye,simply
sitte,site
smil,smile
sometmes,sometimes
specificialy,specifically
sponsered,sponsored
taht,that
thw,the
tured,turned
uranisium,uranium
upmost,utmost
verison,version
vinagarette,vinaigrette
volumptuous,voluptuous
whaaat,what
writting,writing
