Mispelling,Suggestion
presbyterian,presbyterian
susan,susan
abilitey,ability
absorbtion,absorption
accomodate,accommodate
acommadate,accommodate
aquantance,acquaintance
adultry,adultery
aggresive,aggressive
alchohol,alcohol
alchoholic,alcoholic
anotomy,anatomy
annoint,anoint
anynomous,anonymous
appreceiated,appreciated
artic,arctic
atentively,attentively
batallion,battalion
beggining,beginning
bigginging,beginning
behavior,behaviour
beleive,believe
brocolli,broccoli
buracracy,bureaucracy
cauler,caller
cemetary,cemetery
changeing,changing
circumstaces,circumstances
columne,column
comitmment,commitment
comittmend,commitment
commited,committed
commitee,committee
congradulations,congratulations
concensus,consensus
cosmoplyton,cosmopolitan
crasy,crazy
ctitique,critique
crucifiction,crucifixion
defense,defence
definate,definite
definately,definitely
dependeble,dependable
descrptn,description
dispair,despair
distroy,destroy
developement,development
dinasaur,dinosaur
dinasour,dinosaur
disippate,dissipate
devulge,divulge
doenload,download
dymatic,dynamic
ecstacy,ecstasy
effots,efforts
encyclapidia,encyclopedia
enhence,enhance
ennuui,ennui
epitomy,epitome
excede,exceed
excpt,except
excercise,exercise
exhileration,exhilaration
egsistence,existence
existance,existence
exspidient,expedient
phantasia,fantasia
famdasy,fantasy
faxe,fax
fistival,festival
flatterring,flattering
gobernement,government
gobernment,government
gracefull,graceful
gradualy,gradually
grammer,grammar
hapily,happily
herlo,hello
heellp,help
hellp,help
hippopotamous,hippopotamus
houssing,housing
howaver,however
humaniti,humanity
imediaetly,immediately
inadvertant,inadvertent
incompleet,incomplete
incomplot,incomplete
independant,independent
imfamy,infamy
influencial,influential
inital,initial
insistant,insistent
intejilent,intelligent
intelegent,intelligent
intelejent,intelligent
inteligent,intelligent
intellagant,intelligent
intellegent,intelligent
intellegint,intelligent
inerface,interface
interpretter,interpreter
enventions,inventions
irresistable,irresistible
irritible,irritable
johhn,john
kippur,kipper
lesure,leisure
maddness,madness
maintanence,maintenance
pataphysical,metaphysical
millenium,millennium
mischievious,mischievous
necesary,necessary
neighbor,neighbour
nickleodeon,nickelodeon
noticably,noticeably
occusionaly,occasionally
octagenarian,octogenarian
oscilascope,oscilloscope
permissable,permissible
phenominal,phenomenal
playwrite,playwright
pollice,police
poligamy,polygamy
polypropalene,polypropylene
possable,possible
perogative,prerogative
privielage,privilege
proplematic,problematic
proceedures,procedures
pronensiation,pronunciation
pronounciation,pronunciation
psycolagest,psychologist
persue,pursue
quoz,quiz
radious,radius
wrank,rank
recieve,receive
reccomend,recommend
repitition,repetition
reseblence,resemblance
runnung,running
sacreligious,sacrilegious
satifly,satisfy
segements,segments
seperate,separate
seferal,several
cimplicity,simplicity
sponsered,sponsored
stumach,stomach
stutent,student
subpena,subpoena
subjecribed,subscribed
supercede,supersede
swim_wear,swimwear
tesst,test
ttest,test
tommorrow,tomorrow
tomorow,tomorrow
tyrrany,tyranny
unfortunently,unfortunately
unentelegible,unintelligible
unnaturral,unnatural
volumptuous,voluptuous
warloord,warlord
wierd,weird
yeild,yield
