Misspelling,Suggestion
presbyterian,presbyterian
susan,susan
abilitey,ability
absorbtion,absorption
accomodate,accommodate
acommadate,accommodate
aquantance,acquaintance
adultry,adultery
aggresive,aggressive
alchohol,alcohol
alchoholic,alcoholic
ambivilant,ambivalent
anotomy,anatomy
annoint,anoint
appreceiated,appreciated
artic,arctic
asymetric,asymmetric
atentively,attentively
batallion,battalion
beggining,beginning
behavior,behaviour
beleive,believe
brocolli,broccoli
cauler,caller
cemetary,cemetery
changeing,changing
circumstaces,circumstances
columne,column
comitmment,commitment
commited,committed
commitee,committee
congradulations,congratulations
concensus,consensus
crasy,crazy
ctitique,critique
crucifiction,crucifixion
defense,defence
definate,definite
definately,definitely
dependeble,dependable
dispair,despair
distroy,destroy
developement,development
dinasaur,dinosaur
dinasour,dinosaur
disippate,dissipate
devulge,divulge
doenload,download
ecstacy,ecstasy
effots,efforts
encapsualtion,encapsulation
encyclapidia,encyclopedia
encyclopia,encyclopedia
enhence,enhance
ennuui,ennui
enviroment,environment
epitomy,epitome
evething,everything
excede,exceed
excpt,except
excution,execution
excercise,exercise
exhileration,exhilaration
egsistence,existence
existance,existence
exspidient,expedient
phantasia,fantasia
famdasy,fantasy
faxe,fax
fistival,festival
flatterring,flattering
gobernement,government
gobernment,government
gracefull,graceful
gradualy,gradually
grammer,grammar
hapily,happily
herlo,hello
heellp,help
hellp,help
hippopotamous,hippopotamus
houssing,housing
howaver,however
humaniti,humanity
imediaetly,immediately
inadvertant,inadvertent
incompleet,incomplete
incomplot,incomplete
inconvenant,inconvenient
independant,independent
independenent,independent
imfamy,infamy
influencial,influential
inital,initial
insistant,insistent
intelegent,intelligent
inteligent,intelligent
intellagant,intelligent
intellegent,intelligent
intellegint,intelligent
inerface,interface
interpretter,interpreter
enventions,inventions
irresistable,irresistible
irritible,irritable
johhn,john
kippur,kipper
lesure,leisure
maddness,madness
maintanence,maintenance
pataphysical,metaphysical
millenium,millennium
mosaik,mosaic
necesary,necessary
neighbor,neighbour
nickleodeon,nickelodeon
noticably,noticeably
obsfuscate,obfuscate
octagenarian,octogenarian
oscilascope,oscilloscope
preemptory,peremptory
permissable,permissible
phenominal,phenomenal
pollice,police
poligamy,polygamy
polypropalene,polypropylene
possable,possible
perogative,prerogative
privielage,privilege
priviledge,privilege
proplematic,problematic
proceedures,procedures
pronensiation,pronunciation
pronounciation,pronunciation
properally,properly
persue,pursue
quoz,quiz
radious,radius
wrank,rank
recieve,receive
reccomend,recommend
repitition,repetition
reseblence,resemblance
runnung,running
satifly,satisfy
segements,segments
seperate,separate
cimplicity,simplicity
sometmes,sometimes
sponsered,sponsored
stumach,stomach
stutent,student
subpena,subpoena
subjecribed,subscribed
superfulous,superfluous
supercede,supersede
swim_wear,swimwear
tesst,test
ttest,test
tommorrow,tomorrow
tomorow,tomorrow
tyrrany,tyranny
unnaturral,unnatural
vinagarette,vinaigrette
volumptuous,voluptuous
warloord,warlord
wierd,weird
yeild,yield
