Mispelling,Suggestion
cambrige,cambridge
chataukwa,chautauqua
chatocqua,chautauqua
chautauchua,chautauqua
cheautauqua,chautauqua
chitauqua,chautauqua
catauqua,chautauqua
chatauqua,chautauqua
chautaucua,chautauqua
chautauqua,chautauqua
christ_mas,christmas
christmis,christmas
cristmas,christmas
cinderrella,cinderella
desember,december
estwood,eastwood
feburary,february
franch,french
hitlar,hitler
i'me,i'm
i'v,i've
indian's,indians
iresh,irish
januery,january
lester,leicester
meditterranean,mediterranean
mis,miss
munday,monday
mr's,mrs
mrss,mrs
octber,october
saterday,saturday
scotts,scots
septenber,september
septmber,september
spanich,spanish
sweedish,swedish
teusday,tuesday
tuseday,tuesday
wdendsdy,wednesday
wedensday,wednesday
wensday,wednesday
exrays,x-rays
abel,able
able_bodied,able-bodied
abowt,about
adout,about
abuf,above
adove,above
aduv,above
apsent,absent
abscered,absurd
absered,absurd
abserred,absurd
absurb,absurd
absurbe,absurd
academicly,academically
achsends,accents
axceptiable,acceptable
exceptable,acceptable
exsaptible,acceptable
exsestible,acceptable
aciddent,accident
askedent,accident
axedent,accident
axidint,accident
axseadent,accident
exedent,accident
exiedent,accident
comadation,accommodation
acombished,accomplished
acomplisht,accomplished
acaurtens,accordance
accordences,accordance
acordens,accordance
acordenst,accordance
acordounse,accordance
acorrdens,accordance
accrewed,accrued
accrute,accrued
ackrewed,accrued
acrewd,accrued
acrewed,accrued
acrood,accrued
acrude,accrued
acrute,accrued
akcrewed,accrued
ake,ache
accknowledgment,acknowledgement
acknoledgment,acknowledgement
acknoledgmet,acknowledgement
acknowedgment,acknowledgement
acknowldment,acknowledgement
acknowledment,acknowledgement
acknowlegment,acknowledgement
acnowledgment,acknowledgement
aknowledgment,acknowledgement
aqnowledgment,acknowledgement
ecknowledgment,acknowledgement
exnowledgment,acknowledgement
egnoliging,acknowledging
acquantants,acquaintance
aquaintents,acquaintance
akt,act
actting,acting
activitys,activities
acks,acts
acctaly,actually
acshorly,actually
actherly,actually
actuley,actually
actuly,actually
actuoly,actually
aksualy,actually
aktuly,actually
axally,actually
addquit,adequate
adiquit,adequate
adquit,adequate
atiquit,adequate
ediquit,adequate
ediquitt,adequate
ajuned,adjourned
admite,admit
admitd,admitted
aira_plan,aeroplane
airaplane,aeroplane
airoplane,aeroplane
affectionant,affectionate
affectnent,affectionate
afectionaly,affectionately
afextenatly,affectionately
affacionatly,affectionately
affecionatly,affectionately
affecionetally,affectionately
affectinally,affectionately
affectintly,affectionately
affectionsly,affectionately
afedative,affidavit
afterwoods,afterwards
agein,again
agency's,agencies
agencys,agencies
