correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,obvious,ab,EY B IY,blea,B L IY,[]
0.0,0.0,america,ameraca,AE M ER AA K AH,moroccan,M ER AA K AH N,[]
0.0,0.0,america,amercia,AH M ER SH AH,mershon,M ER SH AH N,[]
0.0,0.0,american,ameracan,AE M ER AA K AH N,moroccan,M ER AA K AH N,[]
0.0,0.0,april,apirl,AE P ER L,parole,P ER OW L,[]
0.0,0.0,austrian,austrain,AO S T R EY N,strange,S T R EY N JH,[]
0.0,0.0,badcock's,badcock,B AE D K AA K,bangkok,B AE NG K AA K,[]
0.0,0.0,bechuanaland,bechuarnia_land,B EH K W AA R N IY AH L AE N D,,,[]
0.0,0.0,botswana,botuania,B OW CH UW EY N IY AH,buendia,B UW N D IY AH,[]
0.0,0.0,cambridge,cambrige,K AE M B R IH JH,ambrogio,AE M B R OW JH IY OW,[]
0.0,0.0,canada,canda,K AE N D AH,kanda,K AE N D AH,[]
0.0,0.0,chautauqua,chactuquoe,CH AE K T AH K W OW,maccaquano,M AE K AH K W AA N OW,[]
0.0,0.0,chautauqua,chalktwa,CH AO K T W AH,auxton,AO K S T AH N,[]
0.0,0.0,chautauqua,chaqua,CH AA K W AH,aqua,AA K W AH,[]
0.0,0.0,chautauqua,chata,CH AA T AH,asta,AA S T AH,"['asta', 'hasta']"
0.0,0.0,chautauqua,chatacqua,CH AH T AE K W AH,tranquil,T R AE NG K W AH L,[]
0.0,0.0,chautauqua,chatacque,SH AH T AE K,attacked,AH T AE K T,[]
0.0,0.0,chautauqua,chatalkwa,CH AH T AA L K W AH,opalka,AH P AA L K AH,[]
0.0,0.0,chautauqua,chataqua,SH AH T AA K W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,chataque,SH AH T AA K,schubach,SH AH B AA K,[]
0.0,0.0,chautauqua,chataukowa,CH AE T UW K OW AH,chattanooga,CH AE T AH N UW G AH,[]
0.0,0.0,chautauqua,chataukwa,CH AH T AO K W AH,chautauquans,SH AH T AO K W AH N Z,[]
0.0,0.0,chautauqua,chatauwkwa,CH AE T AW K W AH,aquila,AE K W AH L AH,[]
0.0,0.0,chautauqua,chateau,SH AE T OW,chateau,SH AE T OW,[]
0.0,0.0,chautauqua,chatocqua,CH AH T OW K W AH,chautauquan,SH AH T AO K W AH N,[]
0.0,0.0,chautauqua,chatogua,CH AH T OW G W AH,tonegawa,T OW N IH G AA W AH,[]
0.0,0.0,chautauqua,chatoukouv,CH AE T UW K UW V,chugoku,CH UW G OW K UW,[]
0.0,0.0,chautauqua,chattakqua,CH AE T AH K W AH,adequate,AE D AH K W AH T,[]
0.0,0.0,chautauqua,chatuaca,CH AE CH UW AA K AH,chocolat,CH AA K L AH T,[]
0.0,0.0,chautauqua,chatwakwa,CH AE T W AO K W AH,chatwal,CH AE T W AO L,[]
0.0,0.0,chautauqua,chauetouequa,CH AW AH T UW T AH K W AH,,,[]
0.0,0.0,chautauqua,chauta,CH AO T AH,orta,AO R T AH,[]
0.0,0.0,chautauqua,chautakye,CH AO T AH K IY,takeshi,T AH K EH SH IY,[]
0.0,0.0,chautauqua,chautaqua,SH AH T AA K W AH,chataqua,SH AH T AA K W AH,[]
1.0,0.0,chautauqua,chautauchua,SH AH T AO CH W AH,chautauqua,SH AH T AO K W AH,[]
0.0,0.0,chautauqua,chautiqua,SH AH T IY K W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,chautogqwa,CH AO T OW G K W AH,tonegawa,T OW N IH G AA W AH,[]
0.0,0.0,chautauqua,chautqua,CH AO T K W AH,nautica,N AO T AH K AH,[]
0.0,0.0,chautauqua,chawtakque,CH AO T AH K,autocrat,AO T AH K R AE T,[]
0.0,0.0,chautauqua,chawtawque,CH AO T AO K,torok,T AO R AH K,[]
0.0,0.0,chautauqua,cheautauqua,SH OW T AO K W AH,chautauquans,SH AH T AO K W AH N Z,[]
0.0,0.0,chautauqua,chetdacowa,CH EH T D AH K AW AH,medical,M EH D AH K AH L,[]
0.0,0.0,chautauqua,chetoquoi,CH EH T OW K W OY,checkpoint,CH EH K P OY N T,[]
0.0,0.0,chautauqua,chicahwa,CH IY K AA W AH,chihuahua,CH IY W AA W AH,[]
0.0,0.0,chautauqua,chictocua,CH IH K T OW K Y UW AH,,,[]
0.0,0.0,chautauqua,chicugta,CH IH K AH G T AH,clugston,K L AH G S T AH N,[]
0.0,0.0,chautauqua,chistupa,CH IH S T UW P AH,stupid,S T UW P AH D,[]
0.0,0.0,chautauqua,chitacque,CH IH T AH K,chinnock,CH IH N AH K,[]
0.0,0.0,chautauqua,chitalka,CH IH T AA L K AH,valeska,V AA L EY S K AH,[]
0.0,0.0,chautauqua,chitalkwa,CH IH T AA L K W AH,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chitaqua,CH IH T AA K W AH,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chitauqua,CH IH T AO K W AH,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chitoqua,CH IH T OW K W AH,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chittiqua,CH IH T IY K W AH,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chochatta,CH OW K AA T AH,cassata,K AA S AA T AH,[]
0.0,0.0,chautauqua,chottago,CH AA T AH G OW,tobago,T AH B EY G OW,[]
0.0,0.0,chautauqua,chouativa,CH UW W AH T IY V AH,,,[]
0.0,0.0,chautauqua,chtacu,CH T AE K Y UW,kakuei,K AE K Y UW IY,[]
0.0,0.0,chautauqua,chuatackqua,CH W AA T AH K W AH,ottawa's,AA T AH W AH Z,[]
0.0,0.0,chautauqua,chuatuaque,CH W AA CH UW AA K,huachuca,W AA CH UW K AH,[]
0.0,0.0,chautauqua,chuatuaton,CH UW AE CH UW EY T AH N,,,[]
0.0,0.0,chautauqua,chutaciqwa,CH UW T AH S IH K W AH,,,[]
0.0,0.0,chautauqua,chutouko,CH UW T UW K OW,truicko,T R UW IY K OW,[]
0.0,0.0,chautauqua,cuhtawa,K AH T AO W AH,catawba,K AH T AO B AH,[]
0.0,0.0,chautauqua,quatauqua,K W AA T AO K W AH,swastika,S W AA S T IH K AH,[]
0.0,0.0,chautauqua,schtaka,SH T AA K AH,tasca,T AA S K AH,[]
0.0,0.0,chautauqua,shatacua,SH AH T AE K Y UW AH,vacuous,V AE K Y UW AH S,[]
0.0,0.0,chautauqua,shatakiwa,SH AH T AA K IY W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,shataqua,SH AH T AA K W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,shautalkwa,SH AW T AH L K W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,shawtachwa,SH AO T AE K W AH,tranquil,T R AE NG K W AH L,[]
0.0,0.0,chautauqua,shawtapwa,SH AO T AE P W AH,stapel,S T AE P AH L,[]
0.0,0.0,chautauqua,shawtowa,SH AO T OW AH,autospa,AO T OW S P AH,[]
0.0,0.0,chautauqua,sheto,SH IY T OW,szeto,SH IY T OW,[]
0.0,0.0,chautauqua,shitaka,SH IY T AA K AH,tabaka,T AA B AA K AH,[]
0.0,0.0,chautauqua,showtalkaw,SH OW T AE L K AO,albacore,AE L B AH K AO R,[]
0.0,0.0,chautauqua,showtalkwa,SH OW T AA L K W AH,otology,OW T AA L AH JH IY,[]
0.0,0.0,chautauqua,showtucwa,SH OW T UW K W AH,otsuka,OW T S UW K AH,[]
0.0,0.0,chautauqua,catauqua,K AH T AO K W AH,chautauquans,SH AH T AO K W AH N Z,[]
0.0,0.0,chautauqua,chacactur,CH AE K AE K T ER,characters,K AE R IH K T ER Z,[]
0.0,0.0,chautauqua,chatacuia,CH AH T AE K Y UW Y AH,,,[]
0.0,0.0,chautauqua,chatauchuia,CH AE T AH K UW Y AH,chattanooga,CH AE T AH N UW G AH,[]
1.0,0.0,chautauqua,chatauqua,SH AH T AO K W AH,chautauqua,SH AH T AO K W AH,[]
1.0,0.0,chautauqua,chautaucua,SH AH T AO K W AH,chautauqua,SH AH T AO K W AH,[]
1.0,0.0,chautauqua,chautauqua,SH AH T AO K W AH,chautauqua,SH AH T AO K W AH,[]
0.0,0.0,chautauqua,chetickway,CH EH T IH K W EY,chetniks,CH EH T N IH K S,[]
0.0,0.0,chautauqua,chictique,CH IH K T IY K,irkutsk,IH R K UH T S K,[]
0.0,0.0,chautauqua,chitacwa,CH IY T AA K W AH,kitagawa,K IY T AA G AA W AH,[]
0.0,0.0,chautauqua,chitiquea,CH IH T IY K W IY,chiquita,CH IH K W IY T AH,[]
0.0,0.0,chautauqua,chituaquea,CH IH CH UW AA K W IY,michalski,M IH CH AA L S K IY,[]
0.0,0.0,chautauqua,chtoawa,CH T OW AA W AH,tonegawa,T OW N IH G AA W AH,[]
0.0,0.0,chautauqua,sechectaquka,S IH K EH K T AA K AH,eclectic,IH K L EH K T IH K,[]
0.0,0.0,chautauqua,shatakwa,SH AH T AA K W AH,chataqua,SH AH T AA K W AH,[]
0.0,0.0,chautauqua,shtalkwa,SH T AO K W AH,chautauquans,SH AH T AO K W AH N Z,[]
0.0,0.0,chautauqua,sutalkway,S UW T AO K W EY,suitcase,S UW T K EY S,[]
0.0,0.0,christ,crist,K R IH S T,chryst,K R IH S T,[]
0.0,0.0,christian,christain,K R IH S T EY N,christine,K R IH S T IY N,[]
0.0,0.0,christmas,chrismas,K R IH Z M AH Z,chrismon,K R IH Z M AH N,[]
1.0,0.0,christmas,christ_mas,K R IH S M AH S,christmas,K R IH S M AH S,[]
1.0,0.0,christmas,christmis,K R IH S M IH S,christmas,K R IH S M AH S,[]
0.0,0.0,christmas,cristmus,K R IH S T M AH S,christman,K R IH S T M AH N,[]
1.0,0.0,christmas,cristmas,K R IH S M AH Z,christmas,K R IH S M AH S,[]
1.0,0.0,cinderella,cinderrella,S IH N D ER EH L AH,cinderella,S IH N D ER EH L AH,[]
0.0,0.0,dec,des.,D EH S,des,D EH S,[]
0.0,0.0,december,decmber,D EH K M B ER,encumber,EH N K AH M B ER,[]
1.0,0.0,december,desember,D IH S EH M B ER,december,D IH S EH M B ER,[]
0.0,0.0,dr,doc,D AA K,doc,D AA K,"['doc', 'dock']"
0.0,0.0,dracula's,draculla's,D R AE K AH L AH Z,shackleton's,SH AE K AH L T AH N Z,[]
0.0,0.0,dunstan's,dunstan,D AH N S T AH N,dunstan,D AH N S T AH N,[]
0.0,0.0,easter,ester,EH S T ER,esther,EH S T ER,"['esther', 'ester']"
0.0,0.0,eastwood,estwood,EH S T W UH D,westwood's,W EH S T W UH D Z,[]
1.0,0.0,english,ingish,IH NG IH SH,english,IH NG L IH SH,[]
0.0,0.0,english,inglish,IH NG G AH L IH SH,inglish,IH NG G AH L IH SH,[]
0.0,0.0,feb,fab,F AE B,fab,F AE B,[]
0.0,0.0,february,febuary,F EH B EH R IY,bessire,B EH S IH R IY,[]
1.0,0.0,february,feburary,F EH B ER EH R IY,february,F EH B Y AH W EH R IY,[]
0.0,0.0,february,feburay,F EH B ER EY,felber,F EH L B ER,[]
0.0,0.0,french,franch,F R AE N CH,branched,B R AE N CH T,[]
0.0,0.0,french,feirne,F IH R N,iran,IH R AA N,"['iran', 'eron']"
0.0,0.0,french,fench,F EH N CH,felch,F EH L CH,[]
0.0,0.0,french,freach,F R IY CH,reached,R IY CH T,[]
0.0,0.0,friday,firday,F ER D EY,ferdie,F ER D IY,[]
0.0,0.0,hallowe'en,hallowen,HH AE L AH W AH N,hallanan,HH AE L AH N AH N,[]
1.0,0.0,hitler,hitlar,HH IH T L ER,hitler,HH IH T L ER,[]
0.0,0.0,us,a,EY,ae,EY,"['ae', 'ay']"
0.0,0.0,that,and,AE N D,and,AE N D,[]
0.0,1.0,our,are,AA R,are,AA R,"['are', 'our', 'ahr', 'ar', 'r']"
0.0,0.0,his,has,HH AH Z,has,HH AH Z,[]
0.0,0.0,his,he,HH IY,he,HH IY,"['he', 'hee']"
0.0,0.0,the,i,AY,i,AY,"['i', 'eye', 'aye', 'ai', 'ay']"
0.0,0.0,left,if,IH F,if,IH F,"['if', 'if']"
0.0,0.0,its,is,IH Z,is,IH Z,"['is', 'is']"
0.0,0.0,its,it,IH T,it,IH T,"['it', 'it']"
0.0,0.0,i,iy,IY,e,IY,"['e', 'e.', 'ee']"
0.0,0.0,i,ld,EH L D IY,endy,EH N D IY,[]
0.0,0.0,with,we,W IY,we,W IY,"['we', 'wee', 'oui', 'wii', 'wiehe']"
0.0,1.0,i'd,i'de,AY D,eyed,AY D,"['eyed', 'eide', 'eid', ""i'd"", 'ide']"
0.0,1.0,i'd,i'ed,AY D,eyed,AY D,"['eyed', 'eide', 'eid', ""i'd"", 'ide']"
0.0,0.0,i'd,i'ld,AY L D,load,L OW D,"['load', 'lode']"
0.0,1.0,i'll,ile,AY L,isle,AY L,"['isle', 'aisle', ""i'll""]"
0.0,0.0,will,ill,IH L,ill,IH L,"['ill', 'il']"
1.0,0.0,i'm,i'me,AY M,i'm,AY M,[]
0.0,0.0,i'm,i'n,AY N,ein,AY N,[]
0.0,0.0,information,im,IH M,him,IH M,"['him', 'im', 'imm']"
1.0,0.0,i've,i'v,AY V,i've,AY V,[]
0.0,0.0,i've,iev,IY EH V,ever,EH V ER,[]
1.0,0.0,indians,indian's,IH N D IY AH N Z,indians,IH N D IY AH N Z,[]
0.0,0.0,ireland,irland,ER L AH N D,erland,ER L AH N D,[]
1.0,0.0,irish,iresh,AY R IH SH,irish,AY R IH SH,[]
1.0,0.0,january,januery,JH AE N Y UW R IY,january,JH AE N Y UW EH R IY,[]
0.0,0.0,july,jaly,JH EY L IY,ainley,EY N L IY,[]
0.0,0.0,june,jun,JH AH N,jun,JH AH N,[]
1.0,0.0,leicester,lester,L EH S T ER,leicester,L EH S T ER,[]
0.0,0.0,luke's,luks,L AH K S,lux,L AH K S,"['lux', 'lox', 'lucks', 'luks']"
1.0,0.0,mayfield,mayfeild,M EY F AY L D,mayfield,M EY F IH L D,[]
1.0,0.0,mediterranean,meditterranean,M EH D IH T ER EY N IY AH N,mediterranean,M EH D AH T ER EY N IY AH N,[]
1.0,1.0,miss,mis,M IH S,miss,M IH S,"['miss', 'mis']"
1.0,0.0,monday,munday,M AH N D IY,monday,M AH N D IY,[]
0.0,0.0,miss,mrs,M IH S IH Z,mrs,M IH S IH Z,[]
0.0,0.0,mrs,miss,M IH S,miss,M IH S,"['miss', 'mis']"
0.0,0.0,mrs,mixss,M IH K S,mix,M IH K S,[]
1.0,0.0,mrs,mr's,M IH S IH Z,mrs,M IH S IH Z,[]
1.0,0.0,mrs,mrss,M IH S IH Z,mrs,M IH S IH Z,[]
1.0,0.0,october,octber,AA K T B ER,october,AA K T OW B ER,[]
0.0,0.0,pekinese,pikaness,P IY K AA N IH S,economist,IY K AA N AH M IH S T,[]
0.0,0.0,philip's,perllips,P ER L IH P S,perlis,P ER L IH S,[]
0.0,0.0,pyrenean,pyrannean,P IH R AH N IY AH N,provenience,P R AH V EH N IY AH N S,[]
0.0,1.0,rolls,rowles,R OW L Z,roles,R OW L Z,"['roles', 'rolls', ""roll's"", 'rowles']"
0.0,0.0,samaritan,samariton,S AE M ER IH T AH N,amerindian,AE M ER IH N D IY AH N,[]
1.0,0.0,saturday,saterday,S AE T ER D IY,saturday,S AE T ER D IY,[]
0.0,0.0,saturday,satuarday,S AE CH UW ER D EY,saturdays,S AE T ER D EY Z,[]
1.0,0.0,scots,scotts,S K AA T S,scots,S K AA T S,[]
0.0,0.0,seem,sep,S EH P,sep,S EH P,"['sep', 'cep', 'sepp']"
0.0,0.0,september,septenber,S EH P T AH N B ER,bettenberg,B EH T AH N B ER G,[]
1.0,0.0,september,septmber,S EH P T M B ER,september,S EH P T EH M B ER,[]
0.0,0.0,sheba,shebre,SH EH B ER,esber,EH S B ER,[]
0.0,0.0,spanish,spanich,S P AE N IH CH,sandwich,S AE N W IH CH,[]
0.0,0.0,sunday,sanday,S AE N D EY,andrei,AE N D R EY,[]
1.0,0.0,swedish,sweedish,S W IY D IH SH,swedish,S W IY D IH SH,[]
0.0,0.0,thames,thems,DH EH M Z,elms,EH L M Z,"['elms', 'elmes']"
0.0,0.0,tuesday,teusday,T OY Z D EY,poisoned,P OY Z AH N D,[]
0.0,0.0,tuesday,tusday,T AH S D IY,tousley,T AH S L IY,[]
1.0,0.0,tuesday,tuseday,T UW S D EY,tuesday,T UW Z D EY,[]
0.0,0.0,victorian,vitiorian,V IH SH ER IY AH N,keshishian,K IH SH IH SH IY AH N,[]
1.0,0.0,wednesday,wdendsdy,W D EH N D Z D IY,wednesday,W EH N Z D IY,[]
0.0,0.0,wednesday,wedensday,W EH D AH N Z D EY,wednesdays,W EH N Z D EY Z,[]
1.0,0.0,wednesday,wensday,W EH N Z D EY,wednesday,W EH N Z D EY,[]
0.0,0.0,welsh,wesh,W EH SH,wesch,W EH SH,"['wesch', 'wesche']"
1.0,0.0,x-rays,exrays,EH K S R EY Z,x-rays,EH K S R EY Z,[]
0.0,0.0,are,ah,AA,awe,AA,"['awe', 'aah', 'ah', 'ahh']"
0.0,0.0,very,an,AH N,an,AH N,"['an', 'un']"
0.0,0.0,us,as,AE Z,as,AE Z,[]
0.0,0.0,with,the,DH AH,the,DH AH,"['the', 'the']"
0.0,0.0,a-quiver,aquiver,AE K W AH V ER,aquifer,AE K W AH F ER,[]
0.0,0.0,abattoir,abbatoir,AE B AH T W AA R,cotnoir,K AH T N W AA R,[]
0.0,0.0,abhorrence,abhorence,AE B HH AO R AH N S,abhorrent,AE B HH AO R AH N T,[]
1.0,0.0,ability,abbility,AH B IH L AH T IY,ability,AH B IH L AH T IY,[]
0.0,0.0,ability,abilaty,AE B AH L AH T IY,absolutely,AE B S AH L UW T L IY,[]
1.0,0.0,ability,abillity,AH B IH L AH T IY,ability,AH B IH L AH T IY,[]
0.0,0.0,ability,abilty,AH B IH L T IY,bilotti,B IH L AA T IY,[]
0.0,0.0,ability,ablity,AE B L AH T IY,blumstein,B L AH M S T IY N,[]
0.0,0.0,able,aball,AH B AO L,baller,B AO L ER,"['baller', 'ballor']"
1.0,1.0,able,abel,EY B AH L,able,EY B AH L,"['able', 'abel', 'abell']"
0.0,0.0,able,abule,AH B Y UW L,buell,B Y UW AH L,[]
0.0,0.0,able,alb,AE L B,lobe,L OW B,"['lobe', 'loeb']"
1.0,0.0,able-bodied,able_bodied,EY B AH L B AA D IY D,able-bodied,EY B AH L B AA D IY D,[]
0.0,0.0,about,a_belt,AH B EH L T,belet,B EH L AH T,[]
0.0,0.0,about,a_bot,AH B AA T,abott,AH B AA T,[]
1.0,0.0,about,a_bout,AH B AW T,about,AH B AW T,[]
0.0,0.0,about,a_but,AH B AH T,abut,AH B AH T,[]
0.0,0.0,about,a_pelt,EY P AH L T,politte,P AH L IH T,[]
0.0,0.0,above,aboat,AH B OW T,boast,B OW S T,[]
0.0,0.0,about,aboit,AH B OY T,boyett,B OY IH T,[]
0.0,0.0,about,abont,AH B AA N T,barndt,B AA R N T,[]
0.0,0.0,about,aboo,AH B UW,abou,AH B UW,[]
0.0,0.0,about,abot,AH B AA T,abott,AH B AA T,[]
0.0,0.0,about,abote,AH B OW T,boast,B OW S T,[]
0.0,0.0,above,abou,AH B UW,abou,AH B UW,[]
0.0,0.0,about,abought,AH B AO T,balked,B AO K T,[]
0.0,0.0,about,abould,AH B UH D,boord,B UH R D,[]
0.0,0.0,about,abound,AH B AW N D,abound,AH B AW N D,[]
1.0,0.0,about,abowt,AH B AW T,about,AH B AW T,[]
0.0,0.0,about,abunt,AH B AH N T,bunched,B AH N CH T,[]
0.0,0.0,about,abuot,AH B Y UW OW,bulow,B Y UW L OW,[]
0.0,0.0,had,ad,AE D,add,AE D,"['add', 'ad']"
0.0,0.0,about,adeaut,AH D OW,deo,D IY OW,[]
0.0,0.0,about,adot,AH D AA T,dost,D AA S T,[]
0.0,0.0,about,adout,AH D AW T,doused,D AW S T,"['doused', 'daoust']"
0.0,0.0,about,arand,AE R AH N D,riendeau,R AH N D OW,[]
0.0,0.0,bought,bout,B AW T,bout,B AW T,[]
0.0,0.0,to,of,AH V,of,AH V,"['of', 'of']"
0.0,0.0,own,out,AW T,out,AW T,[]
0.0,1.0,two,to,T UW,to,T UW,"['to', 'two', 'too', 'tue', 'tew']"
0.0,0.0,about,urbote,ER B OW T,boast,B OW S T,[]
0.0,0.0,above,a_barth,AH B AA R TH,barthes,B AA R TH S,[]
0.0,0.0,above,a_beyied,AH B EY IY D,babyhood,B EY B IY HH UH D,[]
0.0,0.0,above,a_bof,AH B AA F,barf,B AA R F,[]
0.0,0.0,above,a_bother,AH B AA DH ER,bothers,B AA DH ER Z,[]
0.0,0.0,above,a_bueve,AH B W IY V,weavers,W IY V ER Z,[]
0.0,0.0,above,a_buth,AH B UW TH,booths,B UW TH S,[]
0.0,0.0,above,a_buve,AH B Y UW V,abuse,AH B Y UW Z,[]
0.0,0.0,above,abaeth,AH B IY TH,beneath,B IH N IY TH,[]
0.0,0.0,above,abahe,AH B EY HH,abate,AH B EY T,[]
0.0,0.0,above,aboer,AH B AO R,abor,AH B AO R,[]
0.0,0.0,above,abofe,AH B OW F,bolf,B OW L F,[]
0.0,0.0,above,abost,AH B AA S T,brost,B R AA S T,[]
0.0,0.0,above,about,AH B AW T,about,AH B AW T,[]
0.0,0.0,above,abouth,AH B UW TH,booths,B UW TH S,[]
1.0,0.0,above,abouve,AH B UW V,above,AH B AH V,[]
0.0,0.0,above,abowe,AH B AW,blau,B L AW,"['blau', 'blough']"
0.0,0.0,above,abuf,AH B AH F,buffs,B AH F S,"['buffs', ""buff's""]"
0.0,0.0,above,abuov,AH B W OW V,woven,W OW V AH N,[]
0.0,0.0,above,abuve,AH B Y UW V,abuse,AH B Y UW Z,[]
0.0,0.0,above,abve,AE B V,biev,B IY V,[]
0.0,0.0,above,adove,AH D AH V,doves,D AH V Z,[]
0.0,0.0,above,aduv,AH D AH V,doves,D AH V Z,[]
0.0,0.0,above,alowe,AH L AW,allow,AH L AW,[]
0.0,0.0,above,aovere,AA OW V EH R EY,verrell,V EH R EY L,[]
0.0,0.0,above,apuve,AH P Y UW V,approve,AH P R UW V,[]
0.0,0.0,above,bealove,B IY L AH V,bielen,B IY L AH N,[]
0.0,0.0,above,beneath,B IH N IY TH,beneath,B IH N IY TH,[]
0.0,0.0,above,buft,B AH F T,afoot,AH F UH T,[]
0.0,0.0,done,dong,D AO NG,dong,D AO NG,[]
0.0,0.0,above,obove,OW B OW V,bovey,B OW V IY,[]
0.0,0.0,above,ubove,Y UW B AH V,yuba,Y UW B AH,[]
0.0,0.0,above,unbove,AH N B AH V,above's,AH B AH V Z,[]
0.0,0.0,above,uove,UW OW V,over,OW V ER,[]
0.0,0.0,above,upbudh,AH P B AH D,abudrahm,AH B AH D R AH M,[]
0.0,0.0,above,upbuve,AH P B Y UW V,abusive,AH B Y UW S IH V,[]
0.0,0.0,above,urborth,ER B AO R TH,borth,B AO R TH,[]
1.0,0.0,abroad,a_broad,AH B R AO D,abroad,AH B R AO D,[]
0.0,0.0,abroad,abraod,AH B R AA D,brodt,B R AA D T,[]
0.0,0.0,abroad,abrod,AH B R AA D,brodt,B R AA D T,[]
0.0,0.0,absence,absense,AE B S EH N S,accents,AE K S EH N T S,[]
0.0,0.0,absence,absents,AE B S AH N T S,absentee,AE B S AH N T IY,[]
0.0,0.0,absent,apsent,AE P S AH N T,absentee,AE B S AH N T IY,[]
1.0,0.0,absolutely,absolutley,AE B S AH L UW T L IY,absolutely,AE B S AH L UW T L IY,[]
1.0,0.0,absolutely,absolutly,AE B S AH L UW T L IY,absolutely,AE B S AH L UW T L IY,[]
1.0,0.0,absolutely,apselutely,AE P S AH L UW T L IY,absolutely,AE B S AH L UW T L IY,[]
0.0,0.0,absorbed,abo,AA B OW,abo,AA B OW,[]
1.0,0.0,absorbent,absorbant,AH B Z AO R B AH N T,absorbent,AH B Z AO R B AH N T,[]
1.0,0.0,absorption,absorbtion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,[]
0.0,0.0,abstract,abse,AE B S,boose,B UW S,[]
0.0,0.0,absurd,asurb,AH S ER B,serbs,S ER B Z,"['serbs', ""serb's"", ""serbs'""]"
0.0,0.0,absurd,abeserbed,AH B IY Z ER B D,absorbed,AH B Z AO R B D,[]
0.0,0.0,absurd,abscered,AE B S ER D,astred,AE S T ER D,[]
0.0,0.0,absurd,abserb,AH B Z ER B,suburbs,S AH B ER B Z,[]
0.0,0.0,absurd,abserbd,AH B Z ER B D,absorbed,AH B Z AO R B D,[]
0.0,0.0,absurd,abserbed,AE B Z ER B D,burbled,B ER B AH L D,[]
1.0,0.0,absurd,abserd,AH B Z ER D,absurd,AH B S ER D,[]
0.0,0.0,absurd,abserded,AH B Z ER D IH D,abounded,AH B AW N D IH D,[]
0.0,0.0,absurd,absered,AE B Z ER D,buzzwords,B AH Z W ER D Z,[]
0.0,0.0,absurd,abserid,AE B S ER IH D,aspirated,AE S P ER EY T IH D,[]
0.0,0.0,absurd,abserred,AE B Z ER D,buzzwords,B AH Z W ER D Z,[]
0.0,0.0,absurd,abserve,AH B Z ER V,observe,AH B Z ER V,[]
0.0,0.0,absurd,abserved,AH B Z ER V D,observed,AH B Z ER V D,[]
0.0,0.0,absurd,abseved,AH B S EH V D,obsessive,AH B S EH S IH V,[]
0.0,0.0,absurd,absevered,AH B S EH V ER D,absurdly,AH B S ER D L IY,[]
0.0,0.0,absurd,absorb,AH B Z AO R B,absorb,AH B Z AO R B,[]
0.0,0.0,absurd,absorbd,AH B Z AO R B D,absorbed,AH B Z AO R B D,[]
0.0,0.0,absurd,absorbed,AH B Z AO R B D,absorbed,AH B Z AO R B D,[]
0.0,0.0,absurd,absord,AH B Z AO R D,abhorred,AH B HH AO R D,[]
0.0,0.0,absurd,absored,AH B Z AO R D,abhorred,AH B HH AO R D,[]
