correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,adam's,adam,AE D AH M,adam,AE D AH M,['adam']
0.0,0.0,after,artair,AA R T EH R,,,[]
0.0,0.0,america,american,AH M EH R IH K AH N,american,AH M EH R IH K AH N,['american']
0.0,0.0,and,ane,EY N,ane,EY N,['ane']
1.0,1.0,apprenticeship,apprentiship,AH P R EH N T IH SH IH P,apprenticeship,AH P R EH N T AH S SH IH P,['apprenticeship']
0.0,0.0,april,apirl,AE P ER L,,,[]
0.0,0.0,audrey,audre,AO D ER,auger,AO G ER,"['auger', 'augur']"
0.0,0.0,austin,autin,AO T IH N,orrin,AO R IH N,"['orrin', 'orin']"
0.0,0.0,baby,babys,B EY B IY Z,babies,B EY B IY Z,['babies']
0.0,0.0,bang,bankg,B AE NG K G,banked,B AE NG K T,['banked']
0.0,0.0,beryl,beryil,B EH R Y IH L,,,[]
0.0,0.0,bicycle,bicyle,B AY S AH L,,,[]
1.0,1.0,boss,bos,B AA S,boss,B AA S,['boss']
0.0,0.0,boys,boy,B OY,boy,B OY,['boy']
0.0,0.0,brabham,barham,B AA R HH AH M,,,[]
0.0,0.0,butlins,butlins,B AH T L IH N Z,,,[]
0.0,0.0,castle's,castels,K EY S T AH L Z,,,[]
0.0,0.0,characters,chartors,CH AA R T ER Z,charters,CH AA R T ER Z,['charters']
1.0,1.0,cheerio,cheere_ho,CH IH R IY HH OW,cheerio,CH IH R IY OW,['cheerio']
0.0,0.0,cheetah,cheter,CH EH T ER,,,[]
1.0,1.0,commentary,comentary,K AA M AH N T EH R IY,commentary,K AA M AH N T EH R IY,['commentary']
0.0,0.0,cooper,copper,K AA P ER,copper,K AA P ER,['copper']
0.0,0.0,cynthia's,cynthia,S IH N TH IY AH,cynthia,S IH N TH IY AH,['cynthia']
0.0,0.0,death,dearth,D ER TH,dearth,D ER TH,['dearth']
1.0,1.0,doctor,docter,D AA K T ER,doctor,D AA K T ER,['doctor']
0.0,0.0,dog's,dog,D AO G,dog,D AO G,['dog']
0.0,0.0,durex,durxer,D ER K S ER,dirks,D ER K S,['dirks']
0.0,0.0,are,and,AE N D,and,AE N D,['and']
0.0,0.0,end,edh,EH D,,,[]
1.0,1.0,head,hed,HH EH D,head,HH EH D,['head']
0.0,0.0,every,evey,IY V IY,,,[]
0.0,0.0,factory,facttoer,F AE K T OW ER,factor,F AE K T ER,['factor']
0.0,0.0,farmer,frameman,F R EY M AH N,,,[]
0.0,0.0,father,farther,F AA R DH ER,farther,F AA R DH ER,['farther']
0.0,0.0,ferrari,farrari,F AA R AA R IY,,,[]
1.0,1.0,fire,fiyer,F AY ER,fire,F AY ER,['fire']
0.0,0.0,france,fance,F AE N S,fax,F AE K S,"['fax', 'facts']"
0.0,0.0,frogmen's,frgmens,F R G M EH N Z,freshens,F R EH SH AH N Z,['freshens']
1.0,1.0,garden,gardon,G AA R D AH N,garden,G AA R D AH N,['garden']
0.0,0.0,geoff,goef,G OW F,guff,G AH F,['guff']
1.0,1.0,goodbye,good_by,G UH D B AY,goodbye,G UH D B AY,['goodbye']
0.0,0.0,her,here,HH IH R,era,IH R AH,['era']
1.0,1.0,him,im,IH M,him,IH M,['him']
0.0,0.0,there,he,HH IY,he,HH IY,['he']
0.0,0.0,his,he's,HH IY Z,,,[]
1.0,1.0,holiday,holliday,HH AA L IH D EY,holiday,HH AA L IH D EY,['holiday']
0.0,0.0,honda,hondor,HH AA N D ER,harder,HH AA R D ER,['harder']
0.0,0.0,i'd,id,IH D,id,IH D,['id']
0.0,0.0,it,i,AY,i,AY,"['i', 'eye', 'aye']"
0.0,0.0,i'll,ill,IH L,ill,IH L,['ill']
0.0,1.0,i'll,ile,AY L,isle,AY L,"['isle', 'aisle', ""i'll""]"
0.0,0.0,i've,ive,AY V,,,[]
0.0,0.0,italy,itlay,IH T L EY,,,[]
0.0,0.0,james,jame,JH EY M,gem,JH EH M,['gem']
0.0,0.0,jane's,janes,JH EY N Z,,,[]
0.0,0.0,japanese,japannese,JH AH P AE N IY Z,japans,JH AH P AE N Z,['japans']
0.0,0.0,jean's,jeans,JH IY N Z,genes,JH IY N Z,"['genes', 'jeans']"
1.0,1.0,joan,jone,JH OW N,joan,JH OW N,['joan']
0.0,0.0,john's,john,JH AA N,john,JH AA N,"['john', 'jon']"
0.0,0.0,john's,johns,JH AA N Z,johns,JH AA N Z,['johns']
1.0,1.0,jones,johnes,JH OW N Z,jones,JH OW N Z,['jones']
0.0,0.0,jones's,joneses,JH OW N Z IH Z,,,[]
0.0,0.0,joyce's,joyce,JH OY S,joyce,JH OY S,['joyce']
1.0,1.0,july,jluy,JH L AY,july,JH UW L AY,['july']
0.0,0.0,kidneys,kidney,K IH D N IY,kidney,K IH D N IY,['kidney']
1.0,1.0,lead,led,L EH D,lead,L EH D,"['lead', 'led']"
0.0,0.0,let's,lets,L EH T S,lets,L EH T S,['lets']
1.0,1.0,london,londen,L AH N D AH N,london,L AH N D AH N,['london']
0.0,0.0,london,londod,L AH N D AH D,,,[]
0.0,0.0,lone,long,L AO NG,long,L AO NG,['long']
0.0,0.0,lucky,luckily,L AH K AH L IY,luckily,L AH K AH L IY,['luckily']
0.0,0.0,macwilliams,macwillaims,M AH K W IH L EY M Z,,,[]
1.0,1.0,married,marrid,M EH R IH D,married,M EH R IY D,['married']
1.0,1.0,mary,marry,M EH R IY,mary,M EH R IY,"['mary', 'merry', 'marry']"
1.0,1.0,meanwhile,mean_while,M IY N W AY L,meanwhile,M IY N W AY L,['meanwhile']
0.0,0.0,monkeys,munces,M AH N S IH Z,announces,AH N AW N S IH Z,['announces']
0.0,0.0,motorbike,motor-bikes,M OW T ER B AY K S,motorbikes,M OW T ER B AY K S,['motorbikes']
0.0,0.0,be,by,B AY,by,B AY,"['by', 'buy', 'bye']"
1.0,1.0,next,nexe,N EH K S,next,N EH K S,"['next', 'necks']"
0.0,0.0,nicholls,nickals,N IH K AH L Z,nichols,N IH K AH L Z,"['nichols', 'nickels', 'nickles']"
0.0,0.0,nose,nos,N AA S,,,[]
0.0,0.0,note,noet,N OW AH T,,,[]
0.0,0.0,oh,ow,OW,eau,OW,"['eau', 'aux', 'owe']"
0.0,0.0,once,ones,W AH N Z,ones,W AH N Z,['ones']
0.0,0.0,won't,won,W AA N,won,W AA N,"['won', 'juan', 'wan']"
1.0,1.0,outside,out_side,AW T S AY D,outside,AW T S AY D,['outside']
0.0,0.0,pleased,please,P L IY Z,please,P L IY Z,"['please', 'pleas']"
0.0,0.0,poem,pome,P OW M,,,[]
0.0,0.0,police,pollce,P OW L S,,,[]
1.0,1.0,porky,paulkey,P AO L K IY,porky,P AO R K IY,['porky']
1.0,1.0,prison,prisern,P R IH Z ER N,prison,P R IH Z AH N,['prison']
0.0,0.0,ranger,rango,R AE NG G OW,,,[]
0.0,0.0,roy,roys,R OY Z,,,[]
0.0,0.0,royal,royl,R OY L,roil,R OY L,['roil']
0.0,0.0,shall,she,SH IY,she,SH IY,['she']
1.0,1.0,slaughterhouse,slaughthouse,S L AO T HH AW S,slaughterhouse,S L AO T ER HH AW S,['slaughterhouse']
0.0,0.0,smoking,smocking,S M AA K IH NG,mocking,M AA K IH NG,['mocking']
0.0,0.0,so,show,SH OW,show,SH OW,['show']
1.0,1.0,someone,some_one,S AH M W AH N,someone,S AH M W AH N,['someone']
0.0,0.0,southwold,suothwode,S UW TH W OW D,swallowed,S W AA L OW D,['swallowed']
0.0,0.0,stanley,stanlay,S T AE N L EY,,,[]
1.0,1.0,stranded,stranden,S T R AE N D AH N,stranded,S T R AE N D AH D,['stranded']
0.0,0.0,stuart,sturt,S T ER T,,,[]
1.0,1.0,switzerland,swizaland,S W IH Z AH L AH N D,switzerland,S W IH T S ER L AH N D,['switzerland']
0.0,0.0,sylvia,sylver,S IH L V ER,silver,S IH L V ER,['silver']
0.0,0.0,tv,tv,T IY V IY,,,[]
0.0,0.0,that's,thats,DH AE T S,,,[]
0.0,0.0,they're,there,DH EH R,their,DH EH R,"['their', 'there']"
0.0,0.0,there,they,DH EY,they,DH EY,['they']
0.0,0.0,they'll,their,DH EH R,their,DH EH R,"['their', 'there']"
0.0,0.0,there,ther,DH ER,thur,DH ER,['thur']
0.0,0.0,thinking,thinkng,TH IH NG K NG,thinks,TH IH NG K S,['thinks']
0.0,0.0,toby,tobe,T OW B,,,[]
0.0,0.0,tom's,toms,T AA M Z,toms,T AA M Z,['toms']
0.0,0.0,tommy,tomy,T OW M IY,,,[]
0.0,0.0,tonner,toner,T OW N ER,toner,T OW N ER,['toner']
0.0,0.0,triumph,triumh,T R AY AH M,,,[]
0.0,0.0,triumph,trumh,T R AH M,trim,T R IH M,['trim']
0.0,0.0,troy,toy,T OY,toy,T OY,['toy']
0.0,0.0,to,tow,T OW,toe,T OW,"['toe', 'tow']"
0.0,0.0,watson,watston,W AA T S T AH N,,,[]
0.0,0.0,what,wh't,W AH N T,once,W AH N S,['once']
0.0,0.0,what's,what,W AH T,what,W AH T,['what']
1.0,1.0,which,wiich,W IH CH,which,W IH CH,"['which', 'witch']"
0.0,1.0,we'll,will,W IH L,will,W IH L,"['will', ""we'll""]"
0.0,0.0,whoever's,whos_evers,HH UW S EH V ER Z,,,[]
0.0,0.0,wings,wing,W IH NG,wing,W IH NG,['wing']
0.0,0.0,yard,ysid,IY S IH D,enid,IY N IH D,['enid']
0.0,0.0,you're,your,Y UH R,your,Y UH R,['your']
0.0,0.0,and,an,AH N,an,AH N,['an']
0.0,0.0,aboard,abroard,AH B R AO R D,abhorred,AH B HH AO R D,['abhorred']
0.0,0.0,about,a_bat,AH B AE T,batter,B AE T ER,['batter']
1.0,1.0,about,a_bout,AH B AW T,about,AH B AW T,['about']
1.0,1.0,absolutely,absolutly,AE B S AH L UW T L IY,absolutely,AE B S AH L UW T L IY,['absolutely']
0.0,0.0,ache,ack,AE K,,,[]
0.0,0.0,after,half,HH AE F,half,HH AE F,['half']
1.0,1.0,again,a_gain,AH G EH N,again,AH G EH N,['again']
0.0,0.0,again,agan,EY G AH N,,,[]
0.0,0.0,again,agian,EY JH IY AH N,aegean,EY JH IY AH N,['aegean']
1.0,1.0,ago,a_go,AH G OW,ago,AH G OW,['ago']
0.0,0.0,air,hare,HH EH R,hair,HH EH R,"['hair', 'hare', 'herr']"
0.0,0.0,alive,alife,AH L AY F,lifer,L AY F ER,['lifer']
0.0,0.0,alley,ally,AH L AY,ally,AH L AY,"['ally', 'alai']"
0.0,0.0,allowed,alloud,AE L AW D,allied,AE L AY D,['allied']
0.0,0.0,almighty,almity,AA L M AH T IY,,,[]
1.0,1.0,alone,a_lone,AH L OW N,alone,AH L OW N,['alone']
1.0,1.0,along,a_long,AH L AO NG,along,AH L AO NG,['along']
1.0,1.0,alright,allright,AO L R AY T,alright,AO L R AY T,['alright']
0.0,0.0,alright,arigh,ER AY,awry,ER AY,['awry']
0.0,0.0,alright,aright,ER AY T,,,[]
0.0,0.0,alright,arigth,ER AY TH,arise,ER AY Z,['arise']
0.0,0.0,alright,or_rit,AO R IH T,audit,AO D IH T,['audit']
0.0,0.0,alright,orrigh,AO R AY,aura,AO R AH,"['aura', 'ora']"
0.0,0.0,alright,orright,AO R AY T,,,[]
1.0,1.0,also,allso,AO L S OW,also,AO L S OW,['also']
0.0,0.0,else,als,AE L Z,,,[]
0.0,1.0,altar,alter,AO L T ER,alter,AO L T ER,"['alter', 'altar']"
1.0,1.0,always,all_ways,AO L W EY Z,always,AO L W EY Z,['always']
1.0,1.0,always,allways,AO L W EY Z,always,AO L W EY Z,['always']
0.0,0.0,ambulance,amberless,AE M B ER L AH S,,,[]
1.0,1.0,ambulance,amblance,AE M B L AE N S,ambulance,AE M B Y AH L AH N S,['ambulance']
0.0,0.0,ambulance,amerless,AH M ER L AH S,,,[]
0.0,0.0,amusements,amusments,AH M AH S M AH N T S,adjustments,AH JH AH S T M AH N T S,['adjustments']
0.0,0.0,at,a,EY,,,[]
0.0,0.0,and,aud,AO D,aud,AO D,"['aud', 'awed']"
0.0,0.0,hands,hand,HH AE N D,hand,HH AE N D,['hand']
0.0,0.0,animals,animl,AE N IH M AH L,animal,AE N AH M AH L,['animal']
1.0,1.0,another,a_nother,AH N AH DH ER,another,AH N AH DH ER,['another']
1.0,1.0,another,a_nouther,AH N AH DH ER,another,AH N AH DH ER,['another']
0.0,0.0,another,aner,EY N ER,,,[]
1.0,1.0,answered,anwerd,AE N W ER D,answered,AE N S ER D,['answered']
1.0,1.0,any,eney,EH N IY,any,EH N IY,['any']
0.0,0.0,anyone,any_on,EH N IY AH N,engine,EH N JH AH N,['engine']
1.0,1.0,anyone,any_one,EH N IY W AH N,anyone,EH N IY W AH N,"['anyone', 'anyone']"
0.0,0.0,anyone,any_own,EH N Y OW N,,,[]
1.0,1.0,anything,any_thing,EH N IY TH IH NG,anything,EH N IY TH IH NG,['anything']
0.0,0.0,anything,anythink,EH N IY TH IH NG K,,,[]
1.0,1.0,anything,anyting,EH N IY T IH NG,anything,EH N IY TH IH NG,['anything']
0.0,0.0,anything,enthing,EH N TH IH NG,,,[]
0.0,0.0,apple,apply,AH P L AY,apply,AH P L AY,['apply']
0.0,0.0,apples,apple,AE P AH L,apple,AE P AH L,"['apple', 'appel']"
0.0,0.0,area,airaear,EH R AH R EH R,airfare,EH R F EH R,['airfare']
0.0,0.0,aren't,arent,EH R AH N T,errant,EH R AH N T,['errant']
0.0,0.0,army,hrmehn,R M EH N,men,M EH N,['men']
0.0,0.0,army,hrmehr,R M EH R,rare,R EH R,['rare']
1.0,1.0,around,a_round,ER AW N D,around,ER AW N D,['around']
1.0,1.0,arrived,arived,ER AY V D,arrived,ER AY V D,['arrived']
