Mispelling,Suggestion
apprentiship,apprenticeship
comentary,commentary
good_by,goodbye
mean_while,meanwhile
out_side,outside
prisern,prison
some_one,someone
stranden,stranded
wiich,which
a_bout,about
absolutly,absolutely
a_gain,again
a_go,ago
a_lone,alone
a_long,along
allright,alright
allso,also
all_ways,always
allways,always
a_nother,another
a_nouther,another
any_one,anyone
any_thing,anything
anyting,anything
a_round,around
arived,arrived
a_sleep,asleep
atack,attack
a_way,away
babby,baby
becaues,because
becouse,because
befor,before
bend_in,bending
blossm,blossom
borrowd,borrowed
boy_friend,boyfriend
boyfreind,boyfriend
boyfrend,boyfriend
bravist,bravest
brecfast,breakfast
breez,breeze
brocken,broken
bubbals,bubbles
buld,build
calld,called
candle_stick,candlestick
can_not,cannot
carrid,carried
charickter,character
cinama,cinema
cleand,cleaned
closd,closed
comvatable,comfortable
consantrate,concentrate
couldnt,couldn't
coverd,covered
cow_boys,cowboys
dangerus,dangerous
darck,dark
desided,decided
disel,diesel
diffrent,different
difrent,different
differcult,difficult
disapeared,disappeared
dispiaying,displaying
disposol,disposal
dich,ditch
down_stairs,downstairs
drivern,driven
imployment,employment
emty,empty
ingaged,engaged
enterd,entered
a_specally,especially
evning,evening
evry,every
every_one,everyone
every_were,everywhere
feling,feeling
feemale,female
feild,field
foodprints,footprints
frendly,friendly
frightend,frightened
funney,funny
geting,getting
good-by,goodbye
goodby,goodbye
grabed,grabbed
greive,grieve
hair_dreser,hairdresser
hapend,happened
happend,happened
hav,have
haveing,having
him_self,himself
honymoon,honeymoon
hunemoon,honeymoon
horid,horrid
house_boat,houseboat
housee_work,housework
hungrey,hungry
indiscrest,indiscreet
in_side,inside
intercors,intercourse
jungel,jungle
killd,killed
kitchin,kitchen
knitt,knit
leav,leave
leve,leave
leavs,leaves
life_boat,lifeboat
locked,locked
many_fold,manifold
meddow,meadow
medow,meadow
mean't,meant
middal,middle
minetes,minutes
moter_bike,motorbike
motor_bike,motorbike
murber,murder
my_self,myself
my_shelf,myself
nerer,nearer
nede,need
nedent,needn't
needent,needn't
never_the_less,nevertheless
ninty,ninety
opend,opened
other_wise,otherwise
out_fit,outfit
out_fits,outfits
partey,party
police_man,policeman
post_cards,postcards
pretiest,prettiest
proceded,proceeded
quere,queer
raceing,racing
radyator,radiator
registery,registry
retier,retire
rouns,rounds
saled,sailed
ship_wreck,shipwreck
shortend,shortened
sine_post,signpost
sing_post,signpost
simpl,simple
singl,single
sleepey,sleepy
sneking,sneaking
some_thing,something
somthing,something
some_times,sometimes
some_were,somewhere
spectatoes,spectators
splended,splendid
statmeant,statement
stayd,stayed
stowlen,stolen
stufy,stuffy
surtebull,suitable
sunck,sunk
sopose,suppose
tadpolls,tadpoles
takeing,taking
thif,thief
theves,thieves
to_gether,together
to_morrow,tomorrow
tommorrow,tomorrow
to_night,tonight
towords,towards
tresure,treasure
treee,tree
truble,trouble
undergroth,undergrowth
under_nethe,underneath
unfitt,unfit
untill,until
up_stairs,upstairs
usally,usually
volonteered,volunteered
whanted,wanted
wach,watch
weeke,week
week_ends,weekends
whent,went
what_ever,whatever
weel,wheel
where_ever,wherever
with_out,without
womon,woman
wondoful,wonderful
work_men,workmen
writeing,writing
yor,your
your_self,yourself
