Mispelling,Suggestion
bos,boss
docter,doctor
hed,head
facttoer,factory
fiyer,fire
gardon,garden
im,him
holliday,holiday
japannese,japanese
jone,joan
johnes,jones
led,lead
londen,london
marry,mary
nexe,next
paulkey,porky
smocking,smoking
stanlay,stanley
alife,alive
alloud,allowed
almity,almighty
eney,any
babyes,babies
bakh,back
basckek,basket
be_for,before
bodys,bodies
boy's,boys
brakes,breaks
brusels,brussels
brusls,brussels
billd,build
billed,build
billding,building
bilt,built
cald,called
carmd,calmed
carefull,careful
cought,caught
chere,chair
sercus,circus
classis,classes
clime,climb
cote,coat
cofens,coffins
kumh,come
corral,coral
counsall,council
counsel,council
creaps,creeps
creeped,crept
cryed,cried
cresp,crisp
croud,crowd
cobard,cupboard
silinders,cylinders
dork,dark
dicided,decided
disided,decided
dence,dense
distrod,destroyed
dun,done
dor,door
dround,drowned
drye,dry
dieing,dying
eate,eat
injoid,enjoyed
a_nuff,enough
aquitment,equipment
iyes,eyes
familys,families
falt,fault
feal,feel
finse,fins
fiar,fire
fishey,fishy
flor,floor
four,for
fur,for
forword,forward
frends,friends
frunt,front
gamekeeps,gamekeeper
gass,gas
gait,gate
gett,get
gerls,girls
grait,great
grouser,grocer
grouned,ground
heep,heap
herd,heard
hart,heart
hevey,heavy
hear,here
hert,hurt
hudge,hutch
high_drollit,hydraulic
injurys,injuries
it's,its
joine,join
kees,keys
knokt,knocked
know,no
knowes,knows
laide,laid
lam,lamb
loades,loads
lorry's,lorries
loos,lose
mayd,made
mane,main
manh,man
maneger,manager
meny,many
midal,middle
midsummer's,midsummer
mite,might
mist,missed
mouthr,mother
mistory,mystery
nere,near
nabour,neighbour
nore,nor
nousant,nuisance
nurse's,nurses
wones,ones
hour,our
ouht,out
owt,out
outdrak,outbreak
payed,paid
pirls,pearls
peope,peep
pictuou,picture
pleace,please
pleas,please
ploud,ploughed
poney,pony
pouder,powder
prisin,prison
privait,private
reding,reading
realy,really
reddy,ready
reley,really
replie,reply
rorse,roars
rumer,rumour
sed,said
seling,selling
snowe,snow
soape,soap
sope,soap
soled,sold
sum,some
somethick,something
son,sun
sownd,sound
suvenere,souvenir
squick,squeak
stearing,steering
starte,start
stowl,stole
stolon,stolen
stormes,storms
strate,straight
strow,straw
strogald,struggled
thire,their
toled,told
tung,tongue
traing,trying
tring,trying
tern,turn
turne,turn
apone,upon
whating,waiting
whont,want
wonted,wanted
wos,was
wavey,wavy
waying,weighing
wen,when
wher,were
witch,which
wiscell,whistle
wisheld,whistled
we'll,will
wunder,wonder
worme,worm
worye,worry
rong,wrong
roat,wrote
yanky,yankee
yess,yes
yew,you
yung,young
youre,your
your_sleve,yourself
