Misspelling,Suggestion
bos,boss
cheere_ho,cheerio
hed,head
fiyer,fire
im,him
holliday,holiday
ive,i've
janes,jane's
jone,joan
johnes,jones
joneses,jones's
led,lead
marry,mary
paulkey,porky
thats,that's
whos_evers,whoever's
alife,alive
alloud,allowed
almity,almighty
eney,any
bakh,back
bell_ringing,bellringing
bodys,bodies
borrowd,borrowed
boy's,boys
bred_crumes,breadcrumbs
brakes,breaks
breez,breeze
brusls,brussels
bubbals,bubbles
billd,build
billed,build
billding,building
bilt,built
cald,called
carmd,calmed
carefull,careful
cought,caught
chere,chair
childrenes,children's
sercus,circus
cleand,cleaned
clime,climb
cote,coat
kumh,come
comvatable,comfortable
corral,coral
couldnt,couldn't
counsall,council
counsel,council
coverd,covered
creaps,creeps
creeped,crept
cobard,cupboard
disided,decided
dence,dense
distrod,destroyed
dednt,didn't
didden,didn't
disaperd,disappeared
distrebe,disturb
dich,ditch
dun,done
dor,door
drivern,driven
dround,drowned
dieing,dying
eate,eat
injoid,enjoyed
a_nuff,enough
a_specally,especially
evry,every
iyes,eyes
familys,families
falt,fault
finse,fins
fiar,fire
fishey,fishy
flor,floor
footanmouth,foot-and-mouth
four,for
fur,for
gass,gas
gait,gate
good-by,goodbye
grandpas,grandpa's
grait,great
hapend,happened
hav,have
havn't,haven't
heep,heap
herd,heard
hart,heart
hear,here
horrieyfide,horrified
hert,hurt
hudge,hutch
high_drollit,hydraulic
injurys,injuries
intercors,intercourse
isant,isn't
it's,its
kees,keys
knokt,knocked
know,no
lam,lamb
la-by,layby
leve,leave
leavs,leaves
lisinid,listened
lorry's,lorries
loos,lose
mayd,made
mane,main
manh,man
middal,middle
mite,might
miss_fireing,misfiring
mist,missed
mouthr,mother
nere,near
nerer,nearer
nedent,needn't
needent,needn't
nabour,neighbour
nore,nor
opend,opened
ordenrey,ordinary
hour,our
owt,out
payed,paid
pirls,pearls
peope,peep
pick_poketin,pickpocketing
pleace,please
pleas,please
ploud,ploughed
poney,pony
proceded,proceeded
quere,queer
reddy,ready
reley,really
registery,registry
replie,reply
rorse,roars
rouns,rounds
rumer,rumour
sed,said
saled,sailed
seling,selling
sine_post,signpost
simpl,simple
sneking,sneaking
snowe,snow
soape,soap
sope,soap
sum,some
son,sun
suvenere,souvenir
squick,squeak
stearing,steering
starte,start
stayd,stayed
stowl,stole
stormes,storms
strate,straight
strogald,struggled
sopose,suppose
thire,their
thif,thief
theves,thieves
tommorrow,tomorrow
tung,tongue
treee,tree
tern,turn
turne,turn
under_nethe,underneath
apone,upon
whating,waiting
whont,want
wonted,wanted
wasnt,wasn't
wach,watch
wavey,wavy
waying,weighing
wen,when
whent,went
wher,were
whernt,weren't
weel,wheel
witch,which
wiscell,whistle
wisheld,whistled
who_evers,whoever's
we'll,will
womon,woman
wunder,wonder
worme,worm
worye,worry
rong,wrong
roat,wrote
yanky,yankee
yew,you
yung,young
yor,your
