correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,adam's,adam,AE D AH M,adam,AE D AH M,"['adam', 'atom', 'odom', 'edam', 'addle', 'adage', 'alum', 'arum', 'earldom', 'item']"
0.0,0.0,after,artair,AA R T EH R,altair,AA L T EH R,"['altair', 'arty', 'artie', 'stair', 'stare', 'arts', 'astaire', 'arctic', 'artery', 'airfare']"
0.0,1.0,america,american,AH M EH R IH K AH N,american,AH M EH R IH K AH N,"['american', 'americas', 'americana', 'america', 'americans', 'americano', 'samaritan', 'americanize']"
0.0,0.0,and,ane,EY N,ane,EY N,"['ane', 'an', 'in', 'in', 'inn', 'earn', 'urn', 'erne', 'own', 'aim']"
1.0,1.0,apprenticeship,apprentiship,AH P R EH N T IH SH IH P,apprenticeship,AH P R EH N T AH S SH IH P,['apprenticeship']
0.0,0.0,april,apirl,AE P ER L,apple,AE P AH L,"['apple', 'appel', 'apt', 'apps', 'wrappers', 'rappers', 'aperture', 'opal', 'opel', 'perl', 'pearl']"
0.0,0.0,audrey,audre,AO D ER,odder,AA D ER,"['odder', 'audi', 'oder', 'odour', 'auger', 'augur', 'odd', 'author', 'adder', 'offer']"
0.0,0.0,austin,autin,AO T IH N,auton,AO T AH N,"['orrin', 'orin', 'auden', 'curtin', 'oren', 'autumn', 'attain', 'aten', 'tin', 'austen']"
0.0,1.0,baby,babys,B EY B IY Z,babies,B EY B IY Z,"['babies', 'bases', 'baileys', 'rabies', 'barbies', 'bakeries', 'bahrainis', 'baby', 'babes', 'davies']"
0.0,0.0,bang,bankg,B AE NG K G,banked,B AE NG K T,"['banked', 'banks', 'banker', 'bankers', 'bank', 'banc', 'bangor', 'banking', 'bunks', 'bunker']"
0.0,1.0,beryl,beryil,B EH R Y IH L,barrel,B EH R AH L,"['barrel', 'beryl', 'burial', 'burying', 'farrell', 'ferrell', 'barrett', 'bearish', 'sherrill', 'bearing', 'bering', 'baring', 'behring']"
0.0,0.0,bicycle,bicyle,B AY S AH L,beisel,B AY S AH L,"['basal', 'bustle', 'geisel', 'bison', 'bible', 'bristle', 'brasil', 'basel', 'basil', 'bridal', 'bridle']"
1.0,1.0,boss,bos,B AA S,boss,B AA S,"['boss', 'boss', 'baas', 'pos', 'bus', 'buss', 'bice', 'bouse', 'botch', 'boche']"
0.0,0.0,boys,boy,B OY,boy,B OY,"['boy', 'goy', 'bow', 'beau', 'beaux', 'coy', 'joy', 'hoy', 'boo', 'soy']"
0.0,0.0,brabham,barham,B AA R HH AH M,barham,B AA R HH AH M,"['barnum', 'bottom', 'boredom', 'barroom', 'bertram', 'barman', 'bargain', 'markham', 'barton', 'barium']"
1.0,0.0,butlins,butlins,B AH T L IH N Z,butlins,B AH T L IH N Z,"['berliners', 'butlers', 'buttons', 'mullins', 'violins', 'balloons', 'goblins', 'balinese', 'blevins']"
0.0,0.0,castle's,castels,K EY S T AH L Z,coastal's,K OW S T AH L Z,"['kestrels', 'crystals', 'pistols', 'customs', 'cradles', 'hostels', 'hastily', 'kettles', 'coastal', 'castles']"
0.0,0.0,characters,chartors,CH AA R T ER Z,charters,CH AA R T ER Z,"['charters', 'chartered', 'charts', 'charmers', 'tartars', 'chargers', 'carters', 'martyrs', 'garters', 'chartres']"
1.0,1.0,cheerio,cheere_ho,CH IH R IY HH OW,cheerio,CH IH R IY OW,"['cheerio', 'cheerios', 'chirico', 'cheerfully', 'cheery']"
0.0,0.0,cheetah,cheter,CH EH T ER,tschetter,CH EH T ER,"['cheddar', 'chatter', 'chitter', 'cheater', 'setter', 'checker', 'wetter', 'netter', 'fetter', 'chat']"
1.0,1.0,commentary,comentary,K AA M AH N T EH R IY,commentary,K AA M AH N T EH R IY,"['commentary', 'commentaries', 'cometary', 'momentary', 'voluntary', 'commissary', 'carpentry', 'commissaries']"
0.0,0.0,cooper,copper,K AA P ER,copper,K AA P ER,"['copper', 'popper', 'cowper', 'capo', 'copy', 'cocker', 'kipper', 'capper', 'caper', 'keeper']"
0.0,0.0,cynthia's,cynthia,S IH N TH IY AH,cynthia,S IH N TH IY AH,"['cynthia', 'cindy', 'cytherea', 'sylvia', 'silvia', 'zinnia', 'cinema', 'synergy', 'syria', 'pythia']"
0.0,1.0,death,dearth,D ER TH,dearth,D ER TH,"['dearth', 'death', 'girth', 'birth', 'berth', 'doth', 'dirt', 'mirth', 'firth', 'perth']"
1.0,1.0,doctor,docter,D AA K T ER,doctor,D AA K T ER,"['doctor', 'doctor', 'darker', 'darter', 'duct', 'ducked', 'daugherty', 'decked', 'director', 'docs', 'docks']"
0.0,0.0,dog's,dog,D AO G,dog,D AO G,"['dog', 'org', 'auger', 'augur', 'bog', 'doug', 'dug', 'dig', 'daub', 'daube']"
