Mispelling,Suggestion
apprentiship,apprenticeship
comentary,commentary
docter,doctor
gardon,garden
good_by,goodbye
holliday,holiday
japannese,japanese
johnes,jones
londen,london
mean_while,meanwhile
nexe,next
out_side,outside
prisern,prison
some_one,someone
stanlay,stanley
stranden,stranded
wiich,which
a_bout,about
absolutly,absolutely
a_gain,again
a_go,ago
a_lone,alone
a_long,along
allright,alright
allso,also
all_ways,always
allways,always
a_nother,another
a_nouther,another
any_one,anyone
any_thing,anything
anyting,anything
a_round,around
arived,arrived
a_sleep,asleep
atack,attack
a_way,away
babby,baby
basckek,basket
becaues,because
becouse,because
be_for,before
befor,before
blossm,blossom
boy_friend,boyfriend
boyfreind,boyfriend
boyfrend,boyfriend
boy's,boys
bravist,bravest
brusels,brussels
buld,build
candle_stick,candlestick
can_not,cannot
carrid,carried
charickter,character
cinama,cinema
consantrate,concentrate
couldnt,couldn't
cow_boys,cowboys
cryed,cried
silinders,cylinders
dangerus,dangerous
darck,dark
desided,decided
dicided,decided
disel,diesel
diffrent,different
difrent,different
differcult,difficult
disapeared,disappeared
dispiaying,displaying
disposol,disposal
down_stairs,downstairs
drye,dry
imployment,employment
emty,empty
ingaged,engaged
aquitment,equipment
evning,evening
every_one,everyone
every_were,everywhere
feling,feeling
feemale,female
feild,field
foodprints,footprints
forword,forward
frendly,friendly
frends,friends
frightend,frightened
frunt,front
funney,funny
gamekeeps,gamekeeper
gass,gas
gett,get
geting,getting
gerls,girls
good-by,goodbye
goodby,goodbye
greive,grieve
grouned,ground
hair_dreser,hairdresser
hav,have
haveing,having
him_self,himself
honymoon,honeymoon
hunemoon,honeymoon
horid,horrid
house_boat,houseboat
housee_work,housework
hungrey,hungry
indiscrest,indiscreet
in_side,inside
it's,its
joine,join
jungel,jungle
kitchin,kitchen
knitt,knit
knowes,knows
laide,laid
leav,leave
life_boat,lifeboat
locked,locked
maneger,manager
many_fold,manifold
meny,many
meddow,meadow
medow,meadow
mean't,meant
midsummer's,midsummer
minetes,minutes
moter_bike,motorbike
motor_bike,motorbike
murber,murder
my_self,myself
my_shelf,myself
nede,need
never_the_less,nevertheless
nurse's,nurses
other_wise,otherwise
ouht,out
owt,out
out_fit,outfit
out_fits,outfits
partey,party
pictuou,picture
pleace,please
police_man,policeman
post_cards,postcards
pouder,powder
pretiest,prettiest
prisin,prison
raceing,racing
radyator,radiator
reding,reading
reddy,ready
retier,retire
seling,selling
ship_wreck,shipwreck
shortend,shortened
sing_post,signpost
simpl,simple
singl,single
sleepey,sleepy
snowe,snow
some_thing,something
somethick,something
somthing,something
some_times,sometimes
some_were,somewhere
sownd,sound
spectatoes,spectators
splended,splendid
stearing,steering
statmeant,statement
stowlen,stolen
strow,straw
tadpolls,tadpoles
takeing,taking
to_gether,together
toled,told
to_morrow,tomorrow
tommorrow,tomorrow
to_night,tonight
towords,towards
tresure,treasure
treee,tree
truble,trouble
traing,trying
turne,turn
undergroth,undergrowth
unfitt,unfit
untill,until
up_stairs,upstairs
usally,usually
volonteered,volunteered
whanted,wanted
wos,was
weeke,week
week_ends,weekends
what_ever,whatever
where_ever,wherever
with_out,without
wondoful,wonderful
work_men,workmen
writeing,writing
yess,yes
yung,young
youre,your
your_self,yourself
