Mispelling,Suggestion
atheneans,athenians
brasillian,brazilian
britian,britain
brittish,british
cambrige,cambridge
carribean,caribbean
celcius,celsius
conneticut,connecticut
eles,ellis
europian,european
europians,europeans
flemmish,flemish
fransiscan,franciscan
fransiscans,franciscans
ghandi,gandhi
guatamala,guatemala
guatamalan,guatemalan
guiness,guinness
israelies,israelis
juadaism,judaism
lybia,libya
malcom,malcolm
massachussets,massachusetts
massachussetts,massachusetts
mediteranean,mediterranean
michagan,michigan
missisipi,mississippi
missisippi,mississippi
misouri,missouri
nuremburg,nuremberg
palistinian,palestinian
phillipine,philippine
philipines,philippines
phillipines,philippines
phillippines,philippines
portugese,portuguese
pucini,puccini
rockerfeller,rockefeller
russion,russian
saterday,saturday
saterdays,saturdays
spainish,spanish
ukranian,ukrainian
wendsay,wednesday
wensday,wednesday
sionist,zionist
sionists,zionists
baout,bout
absorbsion,absorption
adviced,advised
aeriel,aerial
aeriels,aerials
efford,effort
effords,efforts
allopone,allophone
allopones,allophones
androgeny,androgyny
appealling,appealing
approachs,approaches
apon,upon
erested,erected
barbeque,barbecue
beautyfull,beautiful
beggin,begin
blaim,blame
catterpilar,caterpillar
cathlic,catholic
sensure,censure
ceratin,keratin
carachter,character
sheat,sheet
childbird,childbirth
claimes,claims
collectable,collectible
colouration,coloration
comited,committed
comiting,committing
congresional,congressional
cannotation,connotation
cannotations,connotations
conservitive,conservative
concider,consider
containes,contains
contributer,contributor
contributers,contributors
coverted,coveted
coorperation,corporation
copywrite,copyright
sould,sold
crucifiction,crucifixion
decompositing,decomposing
definatly,definitely
diety,deity
dependant,dependent
descendent,descendant
decendents,descendants
descendents,descendants
desparate,disparate
dispite,despite
devide,divide
devided,divided
dieing,dying
earnt,earned
electricly,electrically
imanent,imminent
empirial,imperial
essense,essence
finaly,finally
florescent,fluorescent
faught,fought
gasses,gases
gouvener,governor
governer,governor
grammer,grammar
harrases,harasses
heros,heroes
independance,independence
independece,independence
indite,indict
instade,instead
ironicly,ironically
judical,judicial
layed,laid
lisence,license
licenced,licensed
littel,little
lieing,lying
maintioned,mentioned
midwifes,midwives
misteryous,mysterious
mistery,mystery
nickle,nickel
northereastern,northeastern
octohedral,octahedral
octohedron,octahedron
oposition,opposition
payed,paid
peculure,peculiar
performes,performs
phenomenonly,phenomenally
playwrite,playwright
playwrites,playwrights
progrom,program
progroms,programs
poisin,poison
polute,pollute
possable,possible
possably,possibly
powerfull,powerful
prairy,prairie
prepair,prepare
prohabition,prohibition
proprietory,proprietary
persue,pursue
persuing,pursuing
rarified,rarefied
realy,really
refered,referred
reffered,referred
irregardless,regardless
recquired,required
ressemble,resemble
ressembled,resembled
ressembling,resembling
recide,reside
recided,resided
reciding,residing
resistence,resistance
resteraunt,restaurant
resteraunts,restaurants
restauration,restoration
ressurection,resurrection
scaleable,scalable
secratary,secretary
secretery,secretary
sence,sense
simpley,simply
snese,sneeze
speach,speech
sponser,sponsor
stilus,stylus
sepina,subpoena
successfull,successful
surley,surly
survivers,survivors
syrap,syrup
tattooes,tattoos
tendancies,tendencies
tendancy,tendency
theese,these
thru,through
tomatos,tomatoes
tornados,tornadoes
translater,translator
translaters,translators
unsuccessfull,unsuccessful
unweildly,unwieldy
usefull,useful
visable,visible
visably,visibly
volcanoe,volcano
volcanos,volcanoes
warrent,warrant
wether,whether
weild,wild
