Mispelling,Suggestion
ghandi,gandhi
guiness,guinness
lybia,libya
malcom,malcolm
nuremburg,nuremberg
ukranian,ukrainian
wendsay,wednesday
baout,bout
abutts,abuts
accomodate,accommodate
accomadation,accommodation
accomodation,accommodation
acustom,accustom
adaptions,adaptations
adminstrate,administrate
adminstration,administration
advertisment,advertisement
agressive,aggressive
agreing,agreeing
alotted,allotted
appearence,appearance
approachs,approaches
erested,erected
atheistical,atheistic
auxilliary,auxiliary
basicly,basically
beseiged,besieged
bilateraly,bilaterally
blaim,blame
blaimed,blamed
calender,calendar
cannister,canister
cartilidge,cartilage
sensure,censure
sheat,sheet
chemicaly,chemically
childrens,children's
clinicaly,clinically
collegue,colleague
collectable,collectible
colouration,coloration
comision,commission
commision,commission
comited,committed
comiting,committing
complier,compiler
conquerer,conqueror
concensus,consensus
consumate,consummate
containes,contains
contributer,contributor
contributers,contributors
convertion,conversion
coverted,coveted
convertor,converter
conveyer,conveyor
coorperation,corporation
copywrite,copyright
sould,sold
cxan,cyan
ecidious,insidious
decompositing,decomposing
definit,definite
definately,definitely
definatly,definitely
dependant,dependent
decendant,descendant
descendent,descendant
decendants,descendants
decendents,descendants
descendents,descendants
desparate,disparate
didnt,didn't
devide,divide
devided,divided
dieing,dying
eigth,eighth
electricly,electrically
imigrated,immigrated
imigration,immigration
imanent,imminent
emmisarries,emissaries
emmisarry,emissary
emited,emitted
emmited,emitted
enviroment,environment
eratic,erratic
exagerrates,exaggerates
exelent,excellent
existance,existence
finaly,finally
financialy,financially
faught,fought
foundaries,foundries
gasses,gases
generaly,generally
habeus,habeas
heros,heroes
heterogenous,heterogeneous
hypocrits,hypocrites
ilogical,illogical
independant,independent
indite,indict
inventer,inventor
journies,journeys
layed,laid
licenced,licensed
licencing,licensing
liquify,liquefy
lieing,lying
maintainance,maintenance
maintainence,maintenance
millenium,millennium
ministery,ministry
mispelling,misspelling
naturaly,naturally
nessasarily,necessarily
nickle,nickel
occured,occurred
occuring,occurring
officialy,officially
originaly,originally
payed,paid
performes,performs
permissable,permissible
persistant,persistent
personel,personnel
personell,personnel
fonetic,phonetic
pich,pitch
playwrite,playwright
playwrites,playwrights
polute,pollute
polution,pollution
possesion,possession
practicaly,practically
prairy,prairie
preceeded,preceded
prominately,prominently
prepair,prepare
prevelant,prevalent
proceded,proceeded
profesion,profusion
proseletyzing,proselytizing
publically,publicly
rarified,rarefied
revaluated,reevaluated
releive,relieve
releived,relieved
recide,reside
resteraunt,restaurant
resteraunts,restaurants
rigourous,rigorous
sence,sense
seperate,separate
sherif,sheriff
shouldnt,shouldn't
seige,siege
snese,sneeze
sophmore,sophomore
suop,soup
succesful,successful
succesfuly,successfully
surley,surly
symmetricaly,symmetrically
targetted,targeted
targetting,targeting
tattooes,tattoos
thru,through
todays,today's
tommorrow,tomorrow
tornados,tornadoes
traditionaly,traditionally
transfered,transferred
translater,translator
translaters,translators
truely,truly
useable,usable
usefuly,usefully
vigourous,vigorous
volcanos,volcanoes
wether,whether
womens,women's
