correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
1.0,0.0,apennines,apenines,AE P AH N IY N Z,apennines,AE P AH N IY N Z,"['apennine', 'agonies', 'adenine', 'japanese']"
1.0,0.0,apennines,appenines,AE P AH N IY N Z,apennines,AE P AH N IY N Z,"['apennine', 'agonies', 'adenine', 'japanese']"
0.0,1.0,athenian,athenean,AE TH AH N IY AH N,athenaeum,AE TH AH N IY AH M,"['athenaeum', 'athenian', 'adenine', 'apennine', 'athenians', 'andean']"
1.0,1.0,athenians,atheneans,AE TH AH N IY AH N Z,athenians,AE TH IY N IY AH N Z,"['athenians', 'athenian', 'athenaeum']"
0.0,1.0,bernoulli,bernouilli,B ER N UW IY,burndy,B ER N D IY,"['burnley', 'bluey', 'ennui', 'bernie', 'burney', 'bernoulli', 'bungee', 'burnaby', 'bandy', 'banshee', 'banshee']"
1.0,1.0,blitzkrieg,blitzkreig,B L IH T S K R AY G,blitzkrieg,B L IH T S K R IY G,['blitzkrieg']
1.0,1.0,brazilian,brasillian,B R AH S IH L Y AH N,brazilian,B R AH Z IH L Y AH N,"['brazilian', 'brasilia', 'brazilians', 'brasilia', 'brilliant']"
0.0,1.0,britain,britian,B R IH SH AH N,britian,B R IH SH AH N,"['britain', 'britten', 'briton', 'fission', 'mission', 'bishop', 'billon', 'titian', 'bitten', 'prussian']"
1.0,1.0,british,brittish,B R IH T IH SH,british,B R IH T IH SH,"['british', 'brutish', 'brackish', 'britain', 'britten', 'briton', 'brits', 'bitting', 'brittle', 'brownish']"
0.0,0.0,caesar,ceasar,S AH S AA R,ceasar,S AH S AA R,"['sanaa', 'bizarre', 'bazaar', 'bazar', 'sitar', 'spar', 'sonar', 'star', 'starr', 'tsar']"
1.0,1.0,cambridge,cambrige,K AE M B R IH JH,cambridge,K EY M B R IH JH,"['cambridge', 'cambria', 'cabbage', 'umbrage', 'cabotage', 'oxbridge', 'carriage']"
1.0,1.0,carcass,carcas,K AA R K AH S,carcass,K AA R K AH S,"['carcass', 'caucus', 'marcus', 'cocks', 'cox', 'corpus', 'parkas', 'corks', 'cockle', 'corvus']"
1.0,1.0,caribbean,carribean,K AE R IH B IY AH N,caribbean,K EH R IH B IY AH N,"['caribbean', 'caribbean', 'cambrian', 'amphibian']"
0.0,0.0,carthaginian,carthagian,K AA R TH EY JH IY AH N,,,[]
1.0,0.0,catiline,cataline,K AE T AH L IY N,catiline,K AE T AH L IY N,"['catalina', 'gasoline', 'karolyn', 'catalan', 'kathleen', 'cathleen', 'cattlemen', 'cattlemen', 'vaseline', 'catalogue']"
1.0,1.0,celsius,celcius,S EH L S IY IH S,celsius,S EH L S IY AH S,"['celsius', 'solstice', 'sexless', 'sepsis', 'celtics', 'telesis']"
0.0,0.0,champagne,champange,CH AE M P AE N JH,sampans,S AE M P AE N Z,"['sampan', 'champaign', 'champion']"
1.0,1.0,connecticut,conneticut,K AH N EH T AH K AH T,connecticut,K AH N EH T AH K AH T,"['connecticut', 'construct', 'netiquette']"
0.0,1.0,cypriot,cyprian,S IH P R IY AH N,cyprian,S IH P R IY AH N,"['cyprian', 'cypriot', 'simeon', 'simian', 'scythian', 'syrian', 'citrine', 'cypriot', 'citron', 'siberian']"
0.0,1.0,ellis,eles,EH L EH S,ellesse,EH L EH S,"['ellis', 'ellice', 'sos', 'elks', 'bless', 'airless', 'alas', 'alice', 'alyce', 'eyeless']"
0.0,0.0,enlist,enlish,EH N L IH SH,english,IH NG L IH SH,"['english', 'unleash', 'enrich', 'elfish', 'relish', 'polish', 'polish', 'churlish', 'kalisz', 'ghoulish']"
1.0,1.0,european,europian,Y UH R OW P IY AH N,european,Y UH R AH P IY AH N,"['european', 'europium', 'utopian', 'europeans', 'europa']"
0.0,0.0,european,eurpean,ER P IY N,earlene,ER L IY N,"['earlene', 'pain', 'payne', 'pane', 'paine', 'bean', 'keen', 'kean', 'pen', 'penn']"
