correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,apennines,apenines,AE P AH N IY N Z,opalines,OW P AH L IY N Z,"['opalines', 'openings', ""avalon's"", ""acheson's"", 'achesons', 'allophones', 'avellino', 'amazons', ""amazon's"", 'adenoids']"
0.0,0.0,apennines,appenines,AE P AH N IY N Z,opalines,OW P AH L IY N Z,"['opalines', 'openings', ""avalon's"", ""acheson's"", 'achesons', 'allophones', 'avellino', 'amazons', ""amazon's"", 'adenoids']"
0.0,1.0,athenian,athenean,AE TH AH N IY AH N,athenaeum,AE TH AH N IY AH M,"['athenaeum', 'athenian', 'allenton', 'edenton', 'athenaios', 'iranian', ""o'hanian"", 'ohanian', 'iranian', 'aaronson', 'aronson']"
1.0,1.0,athenians,atheneans,AE TH AH N IY AH N Z,athenians,AE TH IY N IY AH N Z,"['athenians', 'iranians', 'iranians', ""iranians'"", ""aaronson's"", ""ahmanson's"", 'ahmansons', ""aaronson's"", 'plebeians', ""chechnyan's"", 'chechnyans']"
0.0,0.0,bernoulli,bernouilli,B ER N UW IY,burndy,B ER N D IY,"['burndy', 'burnley', 'banoun', 'binchy', 'bunchy', 'fernery', 'bernier', 'bungee', 'bungey', 'bundy']"
1.0,1.0,blitzkrieg,blitzkreig,B L IH T S K R AY G,blitzkrieg,B L IH T S K R IY G,"['blitzkrieg', 'blitstein', 'bielicki', 'bilicki']"
1.0,1.0,brazilian,brasillian,B R AH S IH L Y AH N,brazilian,B R AH Z IH L Y AH N,"['brazilian', 'braselton', 'brazelton', 'gremillion', 'arakelian', 'trevelyan', 'brasington', 'brazilians', 'brasilia', 'mcmillian', 'mcmillion']"
0.0,1.0,britain,britian,B R IH SH AH N,britian,B R IH SH AH N,"['britian', 'brison', 'brisson', 'britain', 'britten', 'briton', 'brittain', 'brittan', 'brydon', 'prussian']"
1.0,1.0,british,brittish,B R IH T IH SH,british,B R IH T IH SH,"['british', 'brutish', 'brittin', 'bradish', 'brackish', 'britain', 'britten', 'briton', 'brittain', 'brittan']"
0.0,0.0,caesar,ceasar,S AH S AA R,ceasar,S AH S AA R,"['ceasar', 'cisar', 'zachar', 'susong', 'bizarre', 'bazaar', 'bazar', 'sitar', 'tesar', 'saison']"
1.0,1.0,cambridge,cambrige,K AE M B R IH JH,cambridge,K EY M B R IH JH,"['cambridge', 'pembridge', 'cambron', 'gambrill', 'corbridge', 'cambria', 'hambrick', 'bambrick', 'gamblin', 'gambrel', 'gambrell']"
1.0,1.0,carcass,carcas,K AA R K AH S,carcass,K AA R K AH S,"['carcass', 'farkas', 'barcus', 'barkus', 'marcus', 'markkas', 'markus', 'corpus', 'parkas', 'gargus']"
1.0,1.0,caribbean,carribean,K AE R IH B IY AH N,caribbean,K EH R IH B IY AH N,"['caribbean', 'caribbean', 'carribean', 'carignan', 'mehrabian', 'kasabian', 'carrington', 'garretson', 'maccabean', 'namibian']"
0.0,0.0,carthaginian,carthagian,K AA R TH EY JH IY AH N,vartanian,V AA R T EY N IY AH N,"['vartanian', 'barsamian', 'cartagena', 'deukmejian', 'carnations', 'ukrainian', 'arslanian', 'bahrainian', 'arcadian', 'arthurian']"
0.0,0.0,catiline,cataline,K AE T AH L IY N,kathalene,K AE TH AH L IY N,"['kathalene', 'gasoline', 'madelene', 'catalan', 'catala', 'cahalan', 'karolyn', 'litalien', 'matalin', 'catalyze']"
