Mispelling,Suggestion
carcas,carcass
ghandi,gandhi
lybia,libya
massachussets,massachusetts
wendsay,wednesday
aberation,aberration
baout,bout
abutts,abuts
acustom,accustom
adaptions,adaptations
adressing,dressing
agred,agreed
alotted,allotted
androgeny,androgyny
aparent,apparent
approachs,approaches
barbeque,barbecue
basicly,basically
bilateraly,bilaterally
blaim,blame
blaimed,blamed
calender,calendar
cartilidge,cartilage
sensure,censure
chemicaly,chemically
childrens,children's
clinicaly,clinically
collegue,colleague
collegues,colleagues
collectable,collectible
colouration,coloration
comisions,commissions
comissions,commissions
comited,committed
comiting,committing
conquerer,conqueror
consumate,consummate
contributer,contributor
convertion,conversion
coverted,coveted
convertor,converter
convertors,converters
coorperation,corporation
copywrite,copyright
sould,sold
cxan,cyan
ecidious,insidious
decompositing,decomposing
definit,definite
definatly,definitely
dependant,dependent
decendant,descendant
descendent,descendant
decendants,descendants
decendents,descendants
desparate,disparate
despiration,desperation
didnt,didn't
devide,divide
devided,divided
dieing,dying
eigth,eighth
electricly,electrically
imigrated,immigrated
imanent,imminent
iminent,imminent
emmisarries,emissaries
emmisarry,emissary
emited,emitted
emmited,emitted
eratic,erratic
exagerrate,exaggerate
exagerrates,exaggerates
finaly,finally
financialy,financially
florescent,fluorescent
fourty,forty
faught,fought
foundaries,foundries
gasses,gases
generaly,generally
habeus,habeas
heros,heroes
hypocrits,hypocrites
ilogical,illogical
indite,indict
ironicly,ironically
journies,journeys
layed,laid
licenced,licensed
licencing,licensing
liquify,liquefy
lieing,lying
maintainence,maintenance
ministery,ministry
naturaly,naturally
nessasarily,necessarily
nickle,nickel
officialy,officially
originaly,originally
payed,paid
performes,performs
personel,personnel
personell,personnel
fonetic,phonetic
pich,pitch
playwrite,playwright
playwrites,playwrights
polute,pollute
polutes,pollutes
polution,pollution
practicaly,practically
prairy,prairie
preceeded,preceded
preceeding,preceding
prominately,prominently
prepair,prepare
prevelant,prevalent
proceded,proceeded
profesion,profusion
propellor,propeller
propellors,propellers
propotions,proportions
rarified,rarefied
realy,really
revaluated,reevaluated
irregardless,regardless
rehersal,rehearsal
releive,relieve
releived,relieved
recide,reside
resteraunt,restaurant
resteraunts,restaurants
sence,sense
sherif,sheriff
seige,siege
simpley,simply
snese,sneeze
suop,soup
specif,specify
succesfuly,successfully
surley,surly
surveyer,surveyor
symmetricaly,symmetrically
syphyllis,syphilis
thru,through
todays,today's
tornados,tornadoes
traditionaly,traditionally
translater,translator
useable,usable
usefuly,usefully
volcanos,volcanoes
warrent,warrant
wether,whether
womens,women's
