Mispelling,suggestion
apenines,apennines
athenean,athenian
bernouilli,bernoulli
britian,britain
ceasar,caesar
carthagian,carthaginian
champange,champagne
eurpean,european
eurpoean,european
febuary,february
gae,game
galations,galatians
ihaca,ithaca
jaques,jacques
japanes,japanese
jospeh,joseph
juadism,judaism
nazereth,nazareth
orginal,original
russina,russian
tiem,time
valetta,valletta
asorbed,absorbed
acclimitization,acclimatization
accomadates,accommodates
achive,archive
acquiantence,acquaintance
aquiantance,acquaintance
acquiantences,acquaintances
adquire,acquire
adquired,acquired
adquires,acquires
adquiring,acquiring
adecuate,adequate
adminstrate,administrate
adminstration,administration
adminstrative,administrative
affort,effort
efford,effort
agian,again
alcoholical,alcoholic
algebraical,algebraic
alegience,allegiance
alot,lot
alomst,almost
alreayd,already
alsot,also
aslo,also
althought,although
altough,although
alwasy,always
alwyas,always
admendment,amendment
analogeous,analogous
anbd,and
annuled,annulled
annointing,anointing
annoints,anoints
anytying,anything
apolegetics,apologetics
apparant,apparent
appropiate,appropriate
arbitarily,arbitrarily
arbitary,arbitrary
archtype,archetype
archtypes,archetypes
artifically,artificially
artillary,artillery
assitant,assistant
asteriod,asteroid
assymetric,asymmetric
atheistical,atheistic
attemt,attempt
attemted,attempted
attemting,attempting
attemts,attempts
audeince,audience
autor,author
avaliable,available
averageed,averaged
avation,aviation
awya,away
ackward,backward
bcak,back
bandwith,bandwidth
beatiful,beautiful
becamae,became
beacuse,because
becasue,because
becuase,because
beggin,begin
behavour,behaviour
beleif,belief
beneficary,beneficiary
binominal,binomial
bondary,boundary
breakthough,breakthrough
buring,during
caluculate,calculate
calulate,calculate
calulated,calculated
carthographer,cartographer
casulaties,casualties
casulaty,casualty
catterpilars,caterpillars
cencus,census
centruies,centuries
centruy,century
cerimonious,ceremonious
certainity,certainty
chariman,chairman
charaterized,characterized
chemcial,chemical
chemcially,chemically
curch,church
ciricuit,circuit
claer,clear
cleareance,clearance
clincial,clinical
coudl,could
comback,comeback
comming,coming
comander,commander
commericial,commercial
commericially,commercially
committe,committee
communciation,communication
comparision,comparison
competion,completion
competive,competitive
complier,compiler
condidtion,condition
condidtions,conditions
coform,conform
conjecutre,conjecture
conived,connived
conscent,consent
consdider,consider
consdidered,considered
constatn,constant
constanly,constantly
consituencies,constituencies
consituency,constituency
consitution,constitution
constituion,constitution
costitution,constitution
consitutional,constitutional
constituional,constitutional
constaints,constraints
constuction,construction
countains,contains
continous,continuous
continously,continuously
controveries,controversies
controvery,controversy
conveinent,convenient
correponding,corresponding
correposding,corresponding
ocuntries,countries
ocuntry,country
coururier,couturier
convenant,covenant
crusies,cruises
culiminating,culminating
currenly,currently
doub,doubt
decideable,decidable
decidely,decidedly
decomposited,decomposed
dieties,deities
decribe,describe
decribed,described
decribes,describes
decribing,describing
desgined,designed
determinining,determining
divice,device
diea,idea
dimenions,dimensions
diphtongs,diphthongs
dipthongs,diphthongs
driectly,directly
diaster,disaster
dicover,discover
dicovered,discovered
dicovering,discovering
dicovers,discovers
dicovery,discovery
distingish,distinguish
distingished,distinguished
distingishes,distinguishes
distingishing,distinguishing
diversed,diverse
divison,division
doens,does
doign,doing
donig,doing
dominiant,dominant
deram,dream
dramtic,dramatic
drnik,drink
druming,drumming
electic,electric
electrial,electrical
electricty,electricity
elimentary,elementary
elphant,elephant
esle,else
embarass,embarrass
embarras,embarrass
embarassing,embarrassing
embarrasing,embarrassing
embarassment,embarrassment
emision,emission
emmision,emission
enamored,enamoured
engeneer,engineer
entrepeneur,entrepreneur
entrepeneurs,entrepreneurs
enviorment,environment
enviroment,environment
enviromental,environmental
enviromentalist,environmentalist
enviormentally,environmentally
enviorments,environments
enviroments,environments
equilibium,equilibrium
equilibrum,equilibrium
essentual,essential
essesital,essential
ethose,those
eveyr,every
exerbate,exacerbate
exmaple,example
exerpt,excerpt
exerpts,excerpts
excecute,execute
excecuted,executed
excecutes,executes
excecuting,executing
excecution,execution
exoskelaton,exoskeleton
expells,expels
expalin,explain
eyars,years
faciliate,facilitate
faciliated,facilitated
famoust,famous
filiament,filament
fianlly,finally
fidn,find
fluorish,flourish
forhead,forehead
forfiet,forfeit
foudn,found
freind,friend
firends,friends
furuther,further
geneologies,genealogies
genialia,genitalia
goign,going
gonig,going
gaurd,guard
goverment,government
gerat,great
graet,great
grat,great
grwo,grow
gunanine,guanine
guerrila,guerrilla
ahppen,happen
hapen,happen
happended,happened
harased,harassed
harasment,harassment
harrasment,harassment
ahve,have
hvae,have
hvaing,having
heterogenous,heterogeneous
hydropobic,hydrophobic
idae,idea
idaes,ideas
idealogies,ideologies
idealogy,ideology
illegimacy,illegitimacy
imagin,imagine
inbalance,imbalance
immidately,immediately
inmigrant,immigrant
inmigrants,immigrants
incorruptable,incorruptible
incunabla,incunabula
independece,independence
indpendent,independent
indepedantly,independently
indpendently,independently
indispensible,indispensable
indutrial,industrial
infectuous,infectious
infilitrate,infiltrate
infilitrated,infiltrated
influented,influenced
infomation,information
instatance,instance
insitution,institution
insitutions,institutions
interbread,interbreed
intrest,interest
internation,international
interrugum,interregnum
interelated,interrelated
intutive,intuitive
intutively,intuitively
iresistable,irresistible
iresistible,irresistible
iresistably,irresistibly
iresistibly,irresistibly
jsut,just
knwo,know
konw,know
knwos,knows
konws,knows
laguage,language
laguages,languages
lsat,last
leanr,learn
leran,learn
lerans,learns
liason,liaison
libary,library
lisense,license
liek,like
liuke,like
liekd,liked
literture,literature
livley,lively
lonley,lonely
lonly,only
loev,love
lvoe,love
magolia,magnolia
maintance,maintenance
marjority,majority
amke,make
mkae,make
mkaes,makes
amking,making
mkaing,making
manoeuverability,manoeuvrability
manouverability,manoeuvrability
manouverable,manoeuvrable
manouvers,manoeuvres
manufatured,manufactured
marrage,marriage
marraige,marriage
mathmatician,mathematician
matheticians,mathematicians
mathmaticians,mathematicians
memeber,member
millepede,millipede
miniscule,minuscule
miscellanous,miscellaneous
mischevious,mischievous
misdameanor,misdemeanour
misdemenor,misdemeanour
misdameanors,misdemeanours
misdemenors,misdemeanours
modle,model
moeny,money
mroe,more
omre,more
mucuous,mucous
muncipalities,municipalities
muncipality,municipality
muder,murder
