Misspelling,Suggestion
apenines,apennines
atheneans,athenians
blitzkreig,blitzkrieg
brasillian,brazilian
brittish,british
cambrige,cambridge
carribean,caribbean
celcius,celsius
conneticut,connecticut
europian,european
europians,europeans
flemmish,flemish
fransiscan,franciscan
fransiscans,franciscans
galations,galatians
guatamala,guatemala
guatamalan,guatemalan
guiness,guinness
israelies,israelis
juadaism,judaism
malcom,malcolm
massachussetts,massachusetts
mediteranean,mediterranean
michagan,michigan
missisipi,mississippi
missisippi,mississippi
misouri,missouri
nuremburg,nuremberg
palistinian,palestinian
phillipine,philippine
philipines,philippines
phillipines,philippines
phillippines,philippines
portugese,portuguese
pucini,puccini
rockerfeller,rockefeller
russion,russian
saterday,saturday
saterdays,saturdays
spainish,spanish
ukranian,ukrainian
wensday,wednesday
sionist,zionist
sionists,zionists
abondon,abandon
abondoned,abandoned
abondoning,abandoning
abondons,abandons
absense,absence
absorbsion,absorption
absorbtion,absorption
acceptible,acceptable
accessable,accessible
acclimitization,acclimatization
accomadate,accommodate
accomodate,accommodate
accomadated,accommodated
accomodated,accommodated
accomodates,accommodates
accomadating,accommodating
accomodating,accommodating
accomadation,accommodation
accomodation,accommodation
accomodations,accommodations
accompanyed,accompanied
acomplish,accomplish
acomplished,accomplished
acomplishment,accomplishment
acomplishments,accomplishments
acording,according
acuracy,accuracy
acustommed,accustomed
acheive,achieve
acheived,achieved
acheivement,achievement
acheivment,achievement
achievment,achievement
acheivements,achievements
acheivments,achievements
achievments,achievements
acheives,achieves
acheiving,achieving
acquaintence,acquaintance
aquaintance,acquaintance
acquaintences,acquaintances
aquainted,acquainted
aquire,acquire
aquired,acquired
aquiring,acquiring
aquisition,acquisition
aquitted,acquitted
accross,across
actualy,actually
additinally,additionally
adress,address
addresable,addressable
adressable,addressable
adecuate,adequate
adhearing,adhering
adminstrate,administrate
adminstration,administration
admissability,admissibility
admissable,admissible
addmission,admission
adolecent,adolescent
addopt,adopt
addopted,adopted
addoptive,adoptive
advertisment,advertisement
advertisments,advertisements
aeriel,aerial
aeriels,aerials
effords,efforts
afficionado,aficionado
afficionados,aficionados
agravate,aggravate
agregate,aggregate
agregates,aggregates
agression,aggression
agressive,aggressive
agressively,aggressively
agrieved,aggrieved
agreing,agreeing
aggreement,agreement
airbourne,airborne
alchohol,alcohol
algoritm,algorithm
algoritms,algorithms
alege,allege
alledge,allege
aleged,alleged
alledges,alleges
allegience,allegiance
alliviate,alleviate
allopone,allophone
allopones,allophones
almsot,almost
ammend,amend
admendment,amendment
amendmant,amendment
ammendment,amendment
anual,annual
analagous,analogous
analitic,analytic
androgenous,androgynous
anihilation,annihilation
anounced,announced
annoint,anoint
annointed,anointed
annointing,anointing
annoints,anoints
anomolies,anomalies
anomolous,anomalous
anomoly,anomaly
anonimity,anonymity
anyhwere,anywhere
appart,apart
appartment,apartment
appartments,apartments
apolegetics,apologetics
appologies,apologies
appology,apology
appealling,appealing
appearence,appearance
appearences,appearances
aplication,application
apprieciate,appreciate
approximitely,approximately
aproximately,approximately
apon,upon
arbitarily,arbitrarily
arbitary,arbitrary
archtype,archetype
archtypes,archetypes
archetect,architect
archetects,architects
archetectural,architectural
archetecturally,architecturally
archetecture,architecture
arangement,arrangement
erested,erected
artical,article
articel,article
artifical,artificial
assasin,assassin
assasinate,assassinate
assasinated,assassinated
assasination,assassination
assasinations,assassinations
assasins,assassins
assemple,assemble
asociated,associated
assymetric,asymmetric
atheistical,atheistic
attendence,attendance
attendent,attendant
attendents,attendants
attitide,attitude
atribute,attribute
atributes,attributes
authobiography,autobiography
auxilliary,auxiliary
bakc,back
bandwith,bandwidth
bankrupcy,bankruptcy
basicaly,basically
beautyfull,beautiful
becouse,because
becomming,becoming
begginer,beginner
begginers,beginners
beggining,beginning
begining,beginning
beginnig,beginning
begginings,beginnings
belives,believes
beleive,believe
beleived,believed
beleives,believes
beleiving,believing
benificial,beneficial
beneficary,beneficiary
benifit,benefit
benifits,benefits
beseige,besiege
beseiged,besieged
beseiging,besieging
vetween,between
boundry,boundary
breakthough,breakthrough
briliant,brilliant
buisness,business
busness,business
calulate,calculate
caluculated,calculated
calulated,calculated
caligraphy,calligraphy
campain,campaign
campains,campaigns
cant,cant
candadate,candidate
cannister,canister
cannisters,canisters
cannonical,canonical
caperbility,capability
careing,caring
carniverous,carnivorous
cartilege,cartilage
carthographer,cartographer
cartrige,cartridge
casette,cassette
cassawory,cassowary
cassowarry,cassowary
casulaties,casualties
casulaty,casualty
catagories,categories
catagory,category
catterpilar,caterpillar
cathlic,catholic
cemetaries,cemeteries
cemetarey,cemetery
cemetary,cemetery
