Mispelling,Suggestion
addres,address
adress,address
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
apeal,appeal
avitar,avatar
beacause,because
beaccause,because
becaes,because
becauase,because
becauce,because
becouse,because
comefortable,comfortable
comfertable,comfortable
communacation,communication
conplete,complete
confedence,confidence
detale,detail
detaled,detailed
deetales,details
differance,difference
difrunt,different
digitle,digital
entertaning,entertaining
evry,every
egsample,example
favouate,favourite
frendly,friendly
freindly,friendly
grafics,graphics
haveing,having
honastly,honestly
innapropriate,inappropriate
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
lonley,lonely
lonly,lonely
minipulate,manipulate
mabey,maybe
mabye,maybe
maybey,maybe
meet,meet
messanger,messenger
mishon,mission
normlly,normally
opend,opened
pasword,password
poeple,people
perswade,persuade
posibly,possibly
probobly,probably
recieved,received
respound,respond
restrtictions,restrictions
rediculous,ridiculous
saftey,safety
skreen,screen
someting,something
somthing,something
somewere,somewhere
streanges,strangers
suprise,surprise
teatching,teaching
whants,wants
wip,whip
whith,with
youself,yourself
