Mispelling,Suggestion
anoeing,annoying
ansaring,answering
becus,because
bullys,bullies
controlles,controls
ciber,cyber
danses,dances
easyer,easier
emales,emails
frend,friend
frendes,friends
frends,friends
gane,gain
genuilly,genuinely
hee,he
importent,important
instagram,instagram
instergram,instagram
instergran,instagram
instgram,instagram
kil,kill
meny,many
maby,maybe
meen,mean
mical,michael
michael,michael
micheal,michael
netfilix,netflix
onllan,online
preffered,preferred
probrely,probably
sichweshen,situation
spase,space
tawk,talk
tec,tech
tels,tells
tolld,told
