Mispelling,Suggestion
achuly,actually
anoeing,annoying
avitar,avatar
becus,because
bullys,bullies
confedence,confidence
controlles,controls
dans,dance
detale,detail
deetales,details
difrunt,different
egicasinol,educational
emales,emails
evry,every
gane,gain
hee,he
kil,kill
lonly,lonely
mabey,maybe
maby,maybe
meen,mean
mical,michael
micheal,michael
mishon,mission
onllan,online
opend,opened
preffered,preferred
sichweshen,situation
streanges,strangers
suprise,surprise
tec,tech
tels,tells
tring,trying
wip,whip
