Misspelling,suggestion
acualy,actually
addres,address
afect,affect
approch,approach
beacause,because
beaccause,because
beacouse,because
beacuse,because
becase,because
becuase,because
becuse,because
bystader,bystander
communacation,communication
consiqences,consequences
cintact,contact
caberbulling,cyberbullying
dangher,danger
dided,died
edcautional,educational
effcet,effect
favouate,favourite
freind,friend
freinds,friends
frenids,friends
fridnds,friends
goning,going
guyy,guy
harrased,harrassed
intresting,interesting
isuues,issues
laddy,lady
lonley,lonely
mabye,maybe
midia,media
michiel,michael
poeple,people
phiscal,physical
porly,poorly
prtending,pretending
probaly,probably
reall,really
relly,really
saftety,safety
saftey,safety
stoping,stopping
strangrs,strangers
talck,talk
trased,traced
trost,trust
tyring,trying
vioce,voice
whants,wants
whatch,watch
wirdo,weirdo
werk,werk
