*,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
AA,1,0.030985915,0.166666667,0.489671362,0.084037559,0.107981221,0,0,0.000469484,0,0.007981221,0.005633803,0.000469484,0,0.000469484,0.000938967,0.001408451,0.000469484,0,0.001408451,0.015962441,0.001877934,0.003755869,0.000469484,0.015492958,0.001408451,0.001408451,0.002347418,0,0,0.004225352,0.000938967,0,0,0.001408451,0.000469484,0,0.000469484,0
AE,0.09375,1,0.105357143,0.004910714,0.069196429,0.093303571,0.000892857,0,0.003571429,0.001339286,0.295089286,0.004017857,0.027232143,0.002232143,0,0.002232143,0.112946429,0.001339286,0.000446429,0.002232143,0.000446429,0.001785714,0.008928571,0.001785714,0.001339286,0,0.003125,0.004464286,0.001339286,0.000446429,0.004017857,0.002678571,0.001339286,0,0.002232143,0,0.000446429,0.000446429,0.000446429
AH,0.214350181,0.048736462,1,0.093411552,0.016245487,0.053249097,0.001353791,0,0.004061372,0,0.129061372,0.001805054,0.001353791,0.004963899,0.000902527,0.002256318,0.020306859,0,0,0.000902527,0.012635379,0.001805054,0.00631769,0,0.05234657,0.002256318,0.004963899,0.004061372,0.002256318,0.000451264,0.004512635,0.000902527,0.010830325,0.000902527,0.004963899,0,0,0.000902527,0.000451264
AO,0.495205866,0.001692047,0.073322053,1,0.0107163,0.012408347,0.001692047,0,0.001128032,0,0.006204174,0.006204174,0.000564016,0.002820079,0,0.001692047,0.001692047,0,0,0.001128032,0.065989848,0.002256063,0.003384095,0.000564016,0.104906937,0.022560632,0.003384095,0.009024253,0.000564016,0,0.002820079,0.000564016,0.003384095,0.0107163,0.001128032,0.070501974,0,0,0
AW,0.29395218,0.05625879,0.081575246,0.087201125,1,0.023909986,0.00281294,0,0.00281294,0,0.018284107,0.00140647,0.00140647,0.00140647,0,0,0.00281294,0,0,0.00140647,0.206751055,0.008438819,0.007032349,0.004219409,0.071729958,0.011251758,0.009845288,0.012658228,0,0.00140647,0.00140647,0.00140647,0,0,0.00281294,0.005625879,0,0,0
AY,0.147601476,0.098049552,0.06483922,0.010015814,0.016341592,1,0.001054296,0,0.010015814,0,0.129151292,0.005271481,0.14074855,0.001054296,0.001581444,0.002635741,0.055877702,0.020031629,0,0.011070111,0.004744333,0.001054296,0.022140221,0.006852926,0.003690037,0.021085925,0.001054296,0.02266737,0.001581444,0.000527148,0.013178703,0.001581444,0.001054296,0,0.001581444,0.001581444,0.002108593,0.000527148,0.001054296
B,0.006507592,0.002169197,0.005206074,0.016052061,0.000867679,0.000867679,1,0,0.121475054,0.094143167,0.001735358,0.001301518,0.004338395,0.012581345,0.045553145,0.000867679,0.003036876,0.002603037,0.000433839,0.006507592,0.016052061,0.017353579,0.001735358,0.000433839,0.004338395,0.000433839,0.326681128,0.007809111,0.000867679,0,0.014316703,0.005206074,0.003470716,0,0.186117137,0.019956616,0,0,0.000433839
CH,0,0,0,0.002624672,0,0,0,1,0,0,0,0,0,0.003937008,0,0.003937008,0,0,0.657480315,0.001312336,0,0,0,0,0,0,0.005249344,0.010498688,0.059055118,0.17191601,0.007874016,0.002624672,0.003937008,0,0,0,0.002624672,0.007874016,0
D,0.000500626,0.001251564,0.002503129,0.000250313,0.000500626,0.001001252,0.051814768,0.001251564,1,0.032540676,0.001251564,0.000250313,0.001501877,0.001501877,0.048060075,0.003254068,0.008010013,0.004505632,0.0077597,0.010262829,0.001501877,0.00350438,0.019774718,0,0.001001252,0,0.007008761,0,0.002252816,0.000250313,0.555193992,0.005757196,0.000500626,0.00175219,0.009261577,0.000250313,0.002002503,0.006257822,0.001501877
DH,0.001960784,0.001470588,0.004411765,0,0,0.000490196,0.088235294,0,0.106862745,1,0.007352941,0,0.003431373,0.011764706,0.006372549,0.006862745,0.010294118,0.001470588,0.000490196,0.002941176,0.020588235,0.022058824,0.017156863,0,0.000490196,0,0.024509804,0.001960784,0.003431373,0,0.033333333,0.446568627,0.003431373,0,0.056372549,0.003431373,0,0.006862745,0
