,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
AA,0.0,0.13728333251557578,0.1191965792625056,0.08097068286982673,0.1477207383188066,0.12241358534350127,0.1632731629122175,0.17313853220467323,0.1592881153137648,0.18950379620951274,0.12599934611522604,0.13294091861592483,0.13124154439496524,0.17316468043071223,0.16752508029431706,0.18357137029430504,0.12842827907604326,0.13753207558331998,0.17496012791035717,0.16736073978445265,0.15625210315245966,0.16046473283977672,0.15984547213045655,0.21510181599730022,0.13207851798182918,0.16270815191919047,0.1671082489787182,0.1536359359751405,0.1556659167639704,0.1890735032304661,0.1632629230446222,0.17583189884946948,0.16561113805089683,0.1451052371302476,0.1660481122860517,0.18116205261150453,0.1967085066524603,0.16220392590163524,0.2091667050280534
AE,0.13473044901104952,0.0,0.11719005148293504,0.14796991140918117,0.13124848814569845,0.12435227170166,0.16181976411081853,0.16479914251541566,0.1596730303418723,0.1869207227806818,0.10155538148010029,0.12024231901668114,0.12943603359179603,0.1720384857904944,0.16870244275693813,0.18902167449341328,0.11102704231632639,0.13397854462396025,0.16345935697618993,0.1670724889644819,0.1584794739839291,0.15929932324925938,0.1611843677250845,0.22781095164400333,0.12955039155694745,0.17375346657556004,0.16040870478182728,0.14472621588894358,0.1576241760755881,0.1965350582771436,0.15997789807366486,0.17295635156678074,0.18107327376463478,0.1488559979910533,0.17050456987449175,0.1604927109245139,0.20044200483178815,0.1559236096612502,0.21016092303315131
AH,0.11832341467871876,0.12240762012715327,0.0,0.13638958645476057,0.1546013665340704,0.12617012722650842,0.1665863968834173,0.16680750281215867,0.15947285912638393,0.182385115519192,0.10725402079234819,0.11344904232614009,0.11821383081514497,0.16789778957586815,0.1757191192071458,0.18743393576517856,0.10894052862598222,0.12888767416899344,0.16963664115493657,0.16135833661582247,0.15457441843619707,0.16694486758784752,0.16031488577804898,0.23636962186575988,0.12300827195590844,0.1645815429744463,0.1602916831787914,0.14678093505354498,0.1525464730745692,0.1948867060270885,0.15780352038648737,0.17586139646207188,0.1732565962261146,0.14442646736478087,0.16964813890831487,0.17306855745450936,0.18919642396179914,0.16121165417515199,0.2144825601339651
AO,0.0792921910160775,0.14334294590033878,0.1326818661659941,0.0,0.15994316607786685,0.13276472318614002,0.15956451637315025,0.17374196212516702,0.15697616117015772,0.1825722294731736,0.12699021718176076,0.14073317712156927,0.13098409897844934,0.16127763189407757,0.16267952695895793,0.18441124671342785,0.1318371670723475,0.1431367495461231,0.17650118210939703,0.16216565087570262,0.15070551334959437,0.15877440501312445,0.16146248278807862,0.2288828634636938,0.1252467517980155,0.16454008818723498,0.15472142293005464,0.1583157684794964,0.159026959936164,0.18247754944334826,0.16188642355488042,0.18015379848516427,0.16507170973033597,0.1536159705980025,0.16374385618701456,0.17198702594959597,0.1968848894862494,0.16490388390744332,0.19927498769048502
AW,0.1222144746477559,0.1241211291594187,0.1371814903215283,0.14706205098604058,0.0,0.13991794679788608,0.16107694830148828,0.16437442743660385,0.16213424068309018,0.19090345658844426,0.13881650210833896,0.14157016061385785,0.14584320769322562,0.1683811034691321,0.1751652151365582,0.1889458145277666,0.13679526032745398,0.14414424491200303,0.16182052229253974,0.164758438527122,0.14719985091088578,0.1638760771513611,0.15785659286817044,0.21220746928528827,0.13092018857505944,0.15778352816659108,0.16158453662389088,0.14915595908712478,0.1619425434346774,0.1778166077152565,0.15676147781786004,0.16668073336236494,0.16486681973542178,0.15609454419774865,0.17551989101785198,0.16936522047624258,0.1967450282831757,0.15792509118893822,0.2003111223405486
AY,0.12034475419814358,0.12295319506108873,0.12364341050102465,0.13595200426939152,0.14970064726139332,0.0,0.16131397509568282,0.17842704450059865,0.1632655748828553,0.186206228249854,0.11248589669188364,0.11907897174555818,0.10802763302184203,0.16924154410526226,0.16928946728785624,0.18772347300270925,0.11784435100925839,0.13027258133724579,0.18160149569740622,0.16646727731622044,0.15672273030588657,0.16562855962166706,0.15766456258190084,0.22143462934902272,0.12925427260899067,0.16280019590294958,0.15354704098968858,0.1514026382649065,0.16128664624614328,0.19156840736854144,0.16374669866420488,0.16729684551084306,0.1678976212563777,0.14615067332322296,0.17385662309874755,0.17731756615335426,0.1976283307678217,0.16276097157134345,0.20601504215948774
B,0.16512263633530017,0.1604450608078719,0.1636910184979849,0.16323166035608572,0.17382593991815273,0.1616745473466335,0.0,0.15947149274095745,0.13541623664777258,0.149966379079374,0.15570751137628036,0.15370717939936268,0.16507340124415232,0.13627383602214554,0.13784003411440088,0.16618403114514999,0.15973209400711108,0.1546635491306416,0.15286553320101595,0.14815468475954863,0.15405298737044643,0.1443991996677162,0.15039356256627426,0.23281480756938247,0.15774078580726278,0.18654750241335968,0.11464871005745755,0.1530365178941554,0.1539843040796279,0.17734165527038395,0.15502265303128832,0.16444706009264953,0.18391314701863432,0.16231225579890296,0.11063596643690762,0.16676574940049727,0.19990383545144547,0.14593390699550912,0.19657523026564705
CH,0.1696019577656127,0.1580540433647813,0.15875601884313212,0.17280502526286762,0.1711421435794616,0.17241783593703824,0.15430097338214596,0.0,0.15272786931085625,0.15954636700389718,0.15157715991975979,0.1563861726501802,0.15527382702446663,0.14988972097973854,0.16870333329017617,0.16343750164224602,0.16042171042923642,0.16418345065986106,0.0915265971326954,0.15559398695098653,0.1636207635945128,0.1577918076892021,0.14563749873489265,0.2194173626344991,0.1617431506054462,0.190717185467087,0.14806882007247013,0.14649232159027853,0.12623078858102077,0.1559025036043316,0.1441113962474827,0.1619131858439611,0.1827989611775878,0.15992556312193648,0.15537812446332655,0.15244142263862384,0.18599118625990324,0.1491495783448485,0.19234548024716258
D,0.15928862544790034,0.15642285463815403,0.15509201890789506,0.15946871927873102,0.1725000220573242,0.16202571784812353,0.1393161849650396,0.15550182247442754,0.0,0.153406064696285,0.15275493025651563,0.1517262383485405,0.15658208031688955,0.16100563935748477,0.14239524306011014,0.1651971002253801,0.15085263340417832,0.15786909538228688,0.1429925259692229,0.16470499227272506,0.15453596861393323,0.15485042032855967,0.16051012828996417,0.21925812692565666,0.15461293619615513,0.17504243345578097,0.15883511042882342,0.14704641141599248,0.14947064501823748,0.1833599966481279,0.0996931293659175,0.15691365631839527,0.19161856412171532,0.17078775123594425,0.15287810484008213,0.17125076576047754,0.18622606196268876,0.13604867201180043,0.2045483076210996
DH,0.17249678769687893,0.1665375485506445,0.16132603358870118,0.16953924461905648,0.18543871133110554,0.16768236614028947,0.1367929695358347,0.1500764111799287,0.135668164769994,0.0,0.15609956235894865,0.15782843825258314,0.1623074481916199,0.1573922371254427,0.154769751378343,0.14695717395046493,0.1603598200888992,0.16433677173184788,0.1466271952799677,0.15893866039005122,0.1449382234968397,0.1507647884832251,0.13832433200624372,0.21280156525622487,0.16554998548993383,0.18811607614788867,0.15087775931818534,0.15064992167726843,0.1534768885672023,0.16670519422411484,0.15362546788976272,0.12202508848826811,0.18718032871920617,0.17693265919335338,0.14392085963756124,0.16080886717952597,0.18710763125660346,0.14257472850760472,0.18999553422577375
